Sprite,Weapon,Might,Range,Description,SP,Exclusive
,Blade of Jehanna,14,2,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, inflicts Spd/Def-6 on foe and neutralizes foe's bonuses to Spd/Def during combat, and also, if foe in combat is in a cardinal direction of unit, foe cannot counterattack, but otherwise, unit deals damage = 15% of foe's Atk.Effect: 【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400,Yes
,Blade Royale,9,2,"Grants Spd+3. At start of turn, if unit is within 2 spaces of an ally, grants Atk/Spd+6 and the following status to unit and allies within 2 spaces for 1 turn: ""neutralizes penalties on unit during combat."" If unit initiates combat, unit attacks twice. If unit initiates combat or if unit is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit and grants Special cooldown charge +1 to unit per attack during combat (only highest value applied; does not stack).Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400,Yes
,Bone Carver,8,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit during combat, and also, if unit attacked, deals 7 damage to target and foes within 2 spaces of target after combat.Effect:【Dagger ５】【Dagger ５】After combat, if unit attacked, inflicts Def/Res-５ on target and foes within 2 spaces of target through their next actions.",200,No
,Bone Carver+,12,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit during combat, and also, if unit attacked, deals 7 damage to target and foes within 2 spaces of target after combat.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",300,No
,Bottled Juice,8,2,"Inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.) After combat, if unit attacked, inflicts Def/Res-5 on target and foes within 2 spaces of target through their next actions.",200,No
,Bottled Juice+,12,2,"Inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.) After combat, if unit attacked, inflicts Def/Res-7 on target and foes within 2 spaces of target through their next actions.",300,No
,Brightwind Fans,14,2,"Enables【Canto (Dist.; Max ３)】.Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit, grants Atk/Spd+X to unit (X = 20% of unit's Spd at start of combat), and neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat, and also, if unit initiates combat, reduces damage from foe's first attack by 50% during combat, and unit's next attack deals damage = total damage reduced (by any source, including other skills; resets at end of combat).Effect:【Dagger ７】【Canto (Dist.; Max ３)】After an attack, Assist skill, or structure destruction, unit can move spaces = number of spaces from start position to end position unit moved prior to taking action (max ３).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400,Yes
,Broadleaf Fan,8,2,"Grants bonus to unit's Atk = total penalties on foe during combat.Effect:【Dagger ５】【Dagger ５】After combat, if unit attacked, inflicts Def/Res-５ on target and foes within 2 spaces of target through their next actions.",200,No
,Broadleaf Fan+,12,2,"Grants bonus to unit's Atk = total penalties on foe during combat.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",300,No
,Bunny's Egg,8,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 during combat and reduces damage from foe's first attack during combat by 30%.Effect:【Dagger ５】【Dagger ５】After combat, if unit attacked, inflicts Def/Res-５ on target and foes within 2 spaces of target through their next actions.",200,No
,Bunny's Egg+,12,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 during combat and reduces damage from foe's first attack during combat by 30%.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",300,No
,Caltrop Dagger,8,2,"Effective against cavalry foes. Disables unit's and foe's skills that change attack priority.Effect:【Dagger ５】【Dagger ５】After combat, if unit attacked, inflicts Def/Res-５ on target and foes within 2 spaces of target through their next actions.",200,No
,Caltrop Dagger+,12,2,"Effective against cavalry foes. Disables unit's and foe's skills that change attack priority.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",300,No
,Candied Dagger,14,2,"If unit initiates combat, grants Spd+4 and deals damage = 10% of unit's Spd during combat.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400,Yes
,Clever Dagger,8,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 during combat and reduces damage from foe's first attack during combat by 30%.Effect:【Dagger ５】【Dagger ５】After combat, if unit attacked, inflicts Def/Res-５ on target and foes within 2 spaces of target through their next actions.",200,No
,Clever Dagger+,12,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 during combat and reduces damage from foe's first attack during combat by 30%.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",300,No
,Cloud Maiougi,8,2,"Effective against dragon foes. Disables unit's and foe's skills that change attack priority. After combat, if unit attacked, inflicts Def/Res-5 on target and foes within 2 spaces of target through their next actions.",200,No
,Cloud Maiougi+,12,2,"Effective against dragon foes. Disables unit's and foe's skills that change attack priority. After combat, if unit attacked, inflicts Def/Res-7 on target and foes within 2 spaces of target through their next actions.",300,No
,Constant Dagger,14,2,"Grants Spd+3. If unit initiates combat, grants Atk/Spd+5 during combat. If unit initiates combat and is within 2 spaces of support partner, foe cannot counterattack and unit and support partner swap spaces after combat. (If unit is within 2 spaces of more than one support partner, swap does not occur.)Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400,Yes
,Convoy Dagger,14,2,"Grants HP+5. Unit can move to a space adjacent to an ally.If unit is within 3 spaces of an ally, inflicts Atk/Spd-6 on foe during combat and foe cannot make a follow-up attack.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400,Yes
,Courtly Fan,8,2,"If unit initiates combat, grants Atk/Spd+5 during combat and neutralizes effects that prevent unit's follow-up attacks during combat.Effect:【Dagger ５】【Dagger ５】After combat, if unit attacked, inflicts Def/Res-５ on target and foes within 2 spaces of target through their next actions.",200,No
,Courtly Fan+,12,2,"If unit initiates combat, grants Atk/Spd+5 during combat and neutralizes effects that prevent unit's follow-up attacks during combat.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",300,No
,Courtly Mask,8,2,"At start of combat, if unit's HP ≥ 50%, grants Atk/Res+5 during combat, and also, if foe can make a follow-up attack, reduces damage from foe's first attack by 50%.Effect:【Dagger ５】【Dagger ５】After combat, if unit attacked, inflicts Def/Res-５ on target and foes within 2 spaces of target through their next actions.",200,No
,Courtly Mask+,12,2,"At start of combat, if unit's HP ≥ 50%, grants Atk/Res+5 during combat, and also, if foe can make a follow-up attack, reduces damage from foe's first attack by 50%.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",300,No
,Dancer's Fan,7,2,"If unit initiates combat, restores 7 HP to adjacent allies after combat. After combat, if unit attacked, inflicts Def/Res-5 on foe through its next action.",200,No
,Dancer's Fan+,10,2,"If unit initiates combat, restores 7 HP to adjacent allies after combat. After combat, if unit attacked, inflicts Def/Res-7 on foe through its next action.",300,No
,Deathly Dagger,11,2,"After combat, if unit attacked, inflicts Def/Res-7 on foe through its next action.If unit initiates combat, deals 7 damage to foe after combat.",400,Yes
,Dragonslasher,8,2,"Effective against dragon foes. Disables unit's and foe's skills that change attack priority. After combat, if unit attacked, inflicts Def/Res-5 on target and foes within 2 spaces of target through their next actions.",200,No
,Dragonslasher+,12,2,"Effective against dragon foes. Disables unit's and foe's skills that change attack priority. After combat, if unit attacked, inflicts Def/Res-7 on target and foes within 2 spaces of target through their next actions.",300,No
,Dreamflake,14,2,"Grants Res+3. If【Penalty】is active on any foes within 3 rows or 3 columns centered on unit, inflicts Atk-5 on those foes during combat.Effect:【Dagger ７】【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400,Yes
,Dual Sword,8,2,"Accelerates Special trigger (cooldown count-1). Unit attacks twice (even if foe initiates combat, unit attacks twice).Inflicts penalty on Atk/Spd/Def/Res for foes within 3 rows or 3 columns centered on unit during combat = 4 + number of combat instances on current turn × 4 (max 12; includes combat instances unit does not participate in; battles on player phase and on enemy phase are counted separately; does not include this current combat instance).At start of combat, if unit's HP ≥ 25%, grants bonus to unit's Atk/Spd/Def/Res = 5 + number of foes within 3 rows or 3 columns centered on unit × 3 (max 14), reduces damage from foe's first attack by 30% (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit during combat.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400,Yes
,Dusk Uchiwa,8,2,"Effective against cavalry foes. Disables unit's and foe's skills that change attack priority. After combat, if unit attacked, inflicts Def/Res-5 on target and foes within 2 spaces of target through their next actions.",200,No
,Dusk Uchiwa+,12,2,"Effective against cavalry foes. Disables unit's and foe's skills that change attack priority. After combat, if unit attacked, inflicts Def/Res-7 on target and foes within 2 spaces of target through their next actions.",300,No
,Felicia's Plate,14,2,"After combat, if unit attacked, inflicts Def/Res-7 on target and foes within 2 spaces through their next actions.Calculates damage using the lower of foe's Def or Res.",400,Yes
,Fireman's Hook,14,2,"Accelerates Special trigger (cooldown count-1). If unit initiates combat or is not adjacent to an ally, grants Atk/Spd/Def/Res+5 to unit, neutralizes effects that inflict ""Special cooldown charge -X"" on unit, and grants unit Special cooldown charge +1 per unit's attack during combat. (Only highest value applied. Does not stack.)Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400,Yes
,Florid Knife,8,2,"Enables【Canto (１)】.At start of combat, if foe's HP ≥ 75%, grants Atk/Spd+5 to unit during combat.Effect:【Dagger ５】【Canto (１)】After an attack, Assist skill, or structure destruction, unit can move １ space(s).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)【Dagger ５】After combat, if unit attacked, inflicts Def/Res-５ on target and foes within 2 spaces of target through their next actions.",200,No
,Florid Knife+,12,2,"Enables【Canto (１)】.At start of combat, if foe's HP ≥ 75%, grants Atk/Spd+5 to unit during combat.Effect:【Dagger ７】【Canto (１)】After an attack, Assist skill, or structure destruction, unit can move １ space(s).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",300,No
,Frozen Delight,14,2,"Enables【Canto (Rem.)】.Accelerates Special trigger (cooldown count-1). If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd+6 to unit during combat, and also, if unit initiates combat and total bonuses on unit + total penalties on foe ≥ 12, unit attacks twice.Effect:【Dagger ７】【Canto (Rem.)】After an attack, Assist skill, or structure destruction, unit can move spaces = any movement not already used that turn. (If unit used a movement skill that warped them, its remaining movement is 0.)(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400,Yes
,Gainful Dagger,8,2,"At start of turn, if unit's HP ≥ 25%, grants 【Null Follow-Up】and【Null Panic】 to unit.At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+X to unit during combat (X = number of【Bonus】effects active on unit and【Penalty】effects active on foe, excluding stat bonuses and stat penalties, × 2, + 5).Effect:【Dagger ５】【Null Follow-Up】If unit's Spd > foe's Spd during combat, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks for 1 turn.【Null Panic】If unit is inflicted with Panic (bonuses converted into penalties), neutralizes the ""converts bonuses on target into penalties"" effect for 1 turn. (Even though the effect is neutralized, the Panic status remains, and is treated as a Penalty status.)【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).【Dagger ５】After combat, if unit attacked, inflicts Def/Res-５ on target and foes within 2 spaces of target through their next actions.",200,No
,Gainful Dagger+,12,2,"At start of turn, if unit's HP ≥ 25%, grants 【Null Follow-Up】and【Null Panic】 to unit.At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+X to unit during combat (X = number of【Bonus】effects active on unit and【Penalty】effects active on foe, excluding stat bonuses and stat penalties, × 2, + 5).Effect:【Dagger ７】【Null Follow-Up】If unit's Spd > foe's Spd during combat, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks for 1 turn.【Null Panic】If unit is inflicted with Panic (bonuses converted into penalties), neutralizes the ""converts bonuses on target into penalties"" effect for 1 turn. (Even though the effect is neutralized, the Panic status remains, and is treated as a Penalty status.)【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",300,No
,Giant Shuriken,4,2,"If unit initiates combat, unit attacks twice.If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit and neutralizes effects that grant ""Special cooldown charge+X"" to foe or inflict ""Special cooldown charge-X"" on unit during combat.Effect:【Dagger ５】【Dagger ５】After combat, if unit attacked, inflicts Def/Res-５ on target and foes within 2 spaces of target through their next actions.",200,No
,Giant Shuriken+,7,2,"If unit initiates combat, unit attacks twice.If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit and neutralizes effects that grant ""Special cooldown charge+X"" to foe or inflict ""Special cooldown charge-X"" on unit during combat.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",300,No
,Göndul,14,2,"Accelerates Special trigger (cooldown count-1). At start of turn, if unit is within 2 spaces of an ally, grants Atk/Spd+6 to unit and allies within 2 spaces of unit for 1 turn. If unit initiates combat or foe's Range = 2, grants Atk/Spd/Def/Res+5 to unit, grants bonus to unit's Atk = X and Spd/Def/Res = 50% of X (X = highest total bonuses among unit and allies within 3 spaces of unit), and reduces damage from foe's first attack by 30% (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes) during combat, and restores 7 HP to unit after combat.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400,Yes
,Goodie Boot,8,2,"During combat, boosts unit's Def/Res by number of allies within 2 spaces × 2. (Maximum bonus of +6 to each stat.)After combat, if unit attacked, inflicts Def/Res-5 on target and foes within 2 spaces of target through their next actions.",200,No
,Goodie Boot+,12,2,"During combat, boosts unit's Def/Res by number of allies within 2 spaces × 2. (Maximum bonus of +6 to each stat.)After combat, if unit attacked, inflicts Def/Res-7 on target and foes within 2 spaces of target through their next actions.",300,No
,Helping Dagger,8,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit, grants Atk/Spd+X × 5 to unit (X = the number of allies with Atk ≥ 55 within 3 rows or 3 columns centered on unit + the number of allies with Spd ≥ 40 in the same area; max 3), and grants Special cooldown charge +1 to unit per attack during combat (only highest value applied; does not stack).Effect:【Dagger ５】【Dagger ５】After combat, if unit attacked, inflicts Def/Res-５ on target and foes within 2 spaces of target through their next actions.",200,No
,Helping Dagger+,12,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit, grants Atk/Spd+X × 5 to unit (X = the number of allies with Atk ≥ 55 within 3 rows or 3 columns centered on unit + the number of allies with Spd ≥ 40 in the same area; max 3), and grants Special cooldown charge +1 to unit per attack during combat (only highest value applied; does not stack).Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",300,No
,Hidden Blade,14,2,"Accelerates Special trigger (cooldown count-1).At start of turn, if unit's HP ≥ 25%, inflicts Spd/Def-7,【Sabotage】, and【Discord】on closest foes and any foes within 2 spaces of those foes through their next actions.At start of combat, if unit's HP ≥ 25%, grants bonus to unit's Atk/Spd = 20% of unit's Spd at start of combat + 6, deals damage = 20% of unit's Spd (excluding area-of-effect Specials), grants Special cooldown charge +1 per attack (only highest value applied; does not stack), and grants Special cooldown count-1 before unit's first attack and Special cooldown count-1 to unit before unit's first follow-up attack during combat.Effect:【Dagger ７】【Sabotage】Inflicts penalty on unit's Atk/Spd/Def/Res during combat = highest penalty on each stat between unit and allies within 2 spaces of unit through its next action. Calculates each stat penalty independently.【Discord】Inflicts Atk/Spd/Def/Res-X on unit during combat (X = 2 + number of allies within 2 spaces of unit; max 5) through its next action.【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400,Yes
,Hidden Thorns,8,2,"During unit's first combat in player phase or enemy phase, grants Atk/Res+5 to unit and restores 7 HP to unit after combat.Effect:【Dagger ５】【Dagger ５】After combat, if unit attacked, inflicts Def/Res-５ on target and foes within 2 spaces of target through their next actions.",200,No
,Hidden Thorns+,12,2,"During unit's first combat in player phase or enemy phase, grants Atk/Res+5 to unit and restores 7 HP to unit after combat.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",300,No
,Hoarfrost Knife,14,2,"Accelerates Special trigger (cooldown count-1). If unit initiates combat and foe uses sword, lance, axe, dragonstone, or beast damage, grants Def+20 during combat, and if foe can counter, unit makes a guaranteed follow-up attack. After combat, if unit attacked, inflicts Def/Res-7 on target and foes within 2 spaces of target through their next actions.",400,Yes
,Honorable Blade,14,2,"Enables【Canto (２)】.Accelerates Special trigger (cooldown count-1). At start of turn, unit can move 1 extra space. (That turn only. Does not stack.) At start of combat, if foe's HP ≥ 50%, grants Atk/Spd+6 to unit during combat.Effect:【Dagger ７】【Canto (２)】After an attack, Assist skill, or structure destruction, unit can move ２ space(s).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400,Yes
,Hunting Blade,14,2,"Accelerates Special trigger (cooldown count-1). Effective against beast foes. At start of combat, if unit's Atk/Spd/Def/Res < that of an ally within 2 spaces, grants +5 to unit's corresponding stat during combat. Calculates each stat bonus independently.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400,Yes
,Hurricane Dagger,14,2,"Grants bonus to unit's Atk = total bonuses on foe during combat. At start of combat, if foe's HP ≥ 75% or 【Bonus】 is active on foe, grants Atk/Spd+5 to unit during combat.Effect:【Dagger ７】【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400,Yes
,Ice Dagger,8,2,"Calculates damage using the lower of foe's Def or Res.If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit, unit makes a guaranteed follow-up attack, and reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% during combat (excluding area-of-effect Specials).Effect:【Dagger ５】【Dagger ５】After combat, if unit attacked, inflicts Def/Res-５ on target and foes within 2 spaces of target through their next actions.",200,No
,Ice Dagger+,12,2,"Calculates damage using the lower of foe's Def or Res.If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit, unit makes a guaranteed follow-up attack, and reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% during combat (excluding area-of-effect Specials).Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",300,No
,Iron Dagger,3,2,"After combat, if unit attacked, inflicts Def/Res-3 on foe through its next action.",50,No
,Jakob's Tray,14,2,"If unit initiates combat, inflicts Atk/Spd/Def/Res-4 on foe during combat.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400,Yes
,Jehanna Dagger,8,2,"If a skill compares unit's Spd to a foe's or ally's Spd, treats unit's Spd as if granted +7.At start of player phase or enemy phase, if unit is within 2 spaces of an ally, grants Atk/Spd+6,【Dodge】, and ""neutralizes penalties on unit during combat"" to unit and allies within 2 spaces of unit for 1 turn.If unit is within 3 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit and reduces damage from foe's first attack by 7 during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and unit's next attack deals damage = total damage reduced from foe's first attack (by any source, including other skills). Resets at end of combat.Effect:【Dagger ５】【Dodge】If unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = difference between stats × 4 (max 40%).【Dagger ５】After combat, if unit attacked, inflicts Def/Res-５ on target and foes within 2 spaces of target through their next actions.",200,No
,Jehanna Dagger+,12,2,"If a skill compares unit's Spd to a foe's or ally's Spd, treats unit's Spd as if granted +7.At start of player phase or enemy phase, if unit is within 2 spaces of an ally, grants Atk/Spd+6,【Dodge】, and ""neutralizes penalties on unit during combat"" to unit and allies within 2 spaces of unit for 1 turn.If unit is within 3 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit and reduces damage from foe's first attack by 7 during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and unit's next attack deals damage = total damage reduced from foe's first attack (by any source, including other skills). Resets at end of combat.Effect:【Dagger ７】【Dodge】If unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = difference between stats × 4 (max 40%).【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",300,No
