Icon,Name,Description,SP,Badge Color
,Atk Ploy 1,"At start of turn, inflicts Atk-3 on foes in cardinal directions with Res < unit's Res through their next actions.",60,
,Atk Ploy 2,"At start of turn, inflicts Atk-4 on foes in cardinal directions with Res < unit's Res through their next actions.",120,
,Atk Ploy 3,"At start of turn, inflicts Atk-5 on foes in cardinal directions with Res < unit's Res through their next actions.",240,
,Atk Smoke 1,Inflicts Atk-3 on foes within 2 spaces of target through their next actions after combat.,60,
,Atk Smoke 2,Inflicts Atk-5 on foes within 2 spaces of target through their next actions after combat.,120,
,Atk Smoke 3,Inflicts Atk-7 on foes within 2 spaces of target through their next actions after combat.,240,
,Atk Tactic 1,"At start of turn, grants Atk+2 to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team ≤ 2.",60,
,Atk Tactic 2,"At start of turn, grants Atk+4 to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team ≤ 2.",120,
,Atk Tactic 3,"At start of turn, grants Atk+6 to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team ≤ 2.",240,
,Atk/Def Bond 1,"If unit is adjacent to an ally, grants Atk/Def+3 during combat.",60,
,Atk/Def Bond 2,"If unit is adjacent to an ally, grants Atk/Def+4 during combat.",120,
,Atk/Def Bond 3,"If unit is adjacent to an ally, grants Atk/Def+5 during combat.",240,
,Atk/Def Catch 1,"At start of combat, if foe's HP = 100% or if【Penalty】is active on foe, grants Atk/Def+3 to unit during combat.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",60,
,Atk/Def Catch 2,"At start of combat, if foe's HP = 100% or if【Penalty】is active on foe, grants Atk/Def+4 to unit during combat.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",120,
,Atk/Def Catch 3,"At start of combat, if foe's HP = 100% or if【Penalty】is active on foe, grants Atk/Def+5 to unit during combat.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",240,
,Atk/Def Clash 1,"If unit or foe initiates combat after moving to a different space, grants bonus to unit's Atk/Def during combat = X + 1. (X = number of spaces from start position to end position of whoever initiated combat; max 1.)",60,
,Atk/Def Clash 2,"If unit or foe initiates combat after moving to a different space, grants bonus to unit's Atk/Def during combat = X + 3. (X = number of spaces from start position to end position of whoever initiated combat; max 2.)",120,
,Atk/Def Clash 3,"If unit or foe initiates combat after moving to a different space, grants bonus to unit's Atk/Def during combat = X + 5. (X = number of spaces from start position to end position of whoever initiated combat; max 3.)",240,
,Atk/Def Finish 1,"If unit is within 3 spaces of an ally, grants Atk/Def+2 to unit during combat, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +1 damage during combat. (Except when dealing damage with area-of-effect Specials.)",60,
,Atk/Def Finish 2,"If unit is within 3 spaces of an ally, grants Atk/Def+4 to unit during combat, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +3 damage during combat. (Except when dealing damage with area-of-effect Specials.)",120,
,Atk/Def Finish 3,"If unit is within 3 spaces of an ally, grants Atk/Def+6 to unit during combat, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +5 damage during combat. (Except when dealing damage with area-of-effect Specials.)",240,
,Atk/Def Form 1,"If unit is within 2 spaces of an ally, grants Atk/Def+X to unit during combat (X = number of allies within 2 spaces; max 3).",60,
,Atk/Def Form 2,"If unit is within 2 spaces of an ally, grants Atk/Def+X to unit during combat (X = number of allies within 2 spaces + 2; max 5).",120,
,Atk/Def Form 3,"If unit is within 2 spaces of an ally, grants Atk/Def+X to unit during combat (X = 2 × number of allies within 2 spaces, + 1; max 7).",240,
,Atk/Def Ideal 1,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Atk/Def+3 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",60,
,Atk/Def Ideal 2,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Atk/Def+4 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",120,
,Atk/Def Ideal 3,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Atk/Def+5 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",240,
,Atk/Def Oath 1,"At start of turn, if unit is adjacent to an ally, grants Atk/Def+3 to unit for 1 turn.",60,
,Atk/Def Oath 2,"At start of turn, if unit is adjacent to an ally, grants Atk/Def+4 to unit for 1 turn.",120,
,Atk/Def Oath 3,"At start of turn, if unit is adjacent to an ally, grants Atk/Def+5 to unit for 1 turn.",240,
,Atk/Def Prime 1,"If【Bonus】is active on unit, grants Atk/Def+X to unit during combat (X = number of【Bonus】effects active on unit, excluding stat bonuses, × 2, + 1; max 3).【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",60,
,Atk/Def Prime 2,"If【Bonus】is active on unit, grants Atk/Def+X to unit during combat (X = number of【Bonus】effects active on unit, excluding stat bonuses, × 2, + 1; max 5).【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",120,
,Atk/Def Prime 3,"If【Bonus】is active on unit, grants Atk/Def+X to unit during combat (X = number of【Bonus】effects active on unit, excluding stat bonuses, × 2, + 3; max 7).【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",240,
,Atk/Def Push 1,"At start of combat, if unit's HP = 100%, grants Atk/Def+3, but if unit attacked, deals 1 damage to unit after combat.",60,
,Atk/Def Push 2,"At start of combat, if unit's HP = 100%, grants Atk/Def+4, but if unit attacked, deals 1 damage to unit after combat.",120,
,Atk/Def Push 3,"At start of combat, if unit's HP = 100%, grants Atk/Def+5, but if unit attacked, deals 1 damage to unit after combat.",240,
,Atk/Def Solo 1,"If unit is not adjacent to an ally, grants Atk/Def+2 during combat.",60,
,Atk/Def Solo 2,"If unit is not adjacent to an ally, grants Atk/Def+4 during combat.",120,
,Atk/Def Solo 3,"If unit is not adjacent to an ally, grants Atk/Def+6 during combat.",240,
,Atk/Res Bond 1,"If unit is adjacent to an ally, grants Atk/Res+3 during combat.",60,
,Atk/Res Bond 2,"If unit is adjacent to an ally, grants Atk/Res+4 during combat.",120,
,Atk/Res Bond 3,"If unit is adjacent to an ally, grants Atk/Res+5 during combat.",240,
,Atk/Res Catch 1,"At start of combat, if foe's HP = 100% or if【Penalty】is active on foe, grants Atk/Res+3 to unit during combat.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",60,
,Atk/Res Catch 2,"At start of combat, if foe’s HP = 100% or if【Penalty】is active on foe, grants Atk/Res+4 to unit during combat.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",120,
,Atk/Res Catch 3,"At start of combat, if foe’s HP = 100% or if【Penalty】is active on foe, grants Atk/Res+5 to unit during combat.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",240,
,Atk/Res Finish 1,"If unit is within 3 spaces of an ally, grants Atk/Res+2 to unit during combat, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +1 damage during combat. (Except when dealing damage with area-of-effect Specials.)",60,
,Atk/Res Finish 2,"If unit is within 3 spaces of an ally, grants Atk/Res+4 to unit during combat, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +3 damage during combat. (Except when dealing damage with area-of-effect Specials.)",120,
,Atk/Res Finish 3,"If unit is within 3 spaces of an ally, grants Atk/Res+6 to unit during combat, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +5 damage during combat. (Except when dealing damage with area-of-effect Specials.)",240,
,Atk/Res Form 1,"If unit is within 2 spaces of an ally, grants Atk/Res+X to unit during combat (X = number of allies within 2 spaces; max 3).",60,
,Atk/Res Form 2,"If unit is within 2 spaces of an ally, grants Atk/Res+X to unit during combat (X = number of allies within 2 spaces + 2; max 5).",120,
,Atk/Res Form 3,"If unit is within 2 spaces of an ally, grants Atk/Res+X to unit during combat (X = 2 × number of allies within 2 spaces, + 1; max 7).",240,
,Atk/Res Ideal 1,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Atk/Res+3 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",60,
,Atk/Res Ideal 2,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Atk/Res+4 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",120,
,Atk/Res Ideal 3,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Atk/Res+5 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",240,
,Atk/Res Oath 1,"At start of turn, if unit is adjacent to an ally, grants Atk/Res+3 to unit for 1 turn.",60,
,Atk/Res Oath 2,"At start of turn, if unit is adjacent to an ally, grants Atk/Res+4 to unit for 1 turn.",120,
,Atk/Res Oath 3,"At start of turn, if unit is adjacent to an ally, grants Atk/Res+5 to unit for 1 turn.",240,
,Atk/Res Push 1,"At start of combat, if unit's HP = 100%, grants Atk/Res+3, but if unit attacked, deals 1 damage to unit after combat.",60,
,Atk/Res Push 2,"At start of combat, if unit's HP = 100%, grants Atk/Res+4, but if unit attacked, deals 1 damage to unit after combat.",120,
,Atk/Res Push 3,"At start of combat, if unit's HP = 100%, grants Atk/Res+5, but if unit attacked, deals 1 damage to unit after combat.",240,
,Atk/Res Rein 1,Inflicts Atk/Res-2 on foes within 2 spaces during combat.,60,
,Atk/Res Rein 2,Inflicts Atk/Res-3 on foes within 2 spaces during combat.,120,
,Atk/Res Rein 3,Inflicts Atk/Res-4 on foes within 2 spaces during combat.,240,
,Atk/Res Solo 1,"If unit is not adjacent to an ally, grants Atk/Res+2 during combat.",60,
,Atk/Res Solo 2,"If unit is not adjacent to an ally, grants Atk/Res+4 during combat.",120,
,Atk/Res Solo 3,"If unit is not adjacent to an ally, grants Atk/Res+6 during combat.",240,
,Atk/Spd 1,Grants Atk/Spd+1.,80,
,Atk/Spd 2,Grants Atk/Spd+2.,160,
,Atk/Spd Bond 1,"If unit is adjacent to an ally, grants Atk/Spd+3 during combat.",60,
,Atk/Spd Bond 2,"If unit is adjacent to an ally, grants Atk/Spd+4 during combat.",120,
,Atk/Spd Bond 3,"If unit is adjacent to an ally, grants Atk/Spd+5 during combat.",240,
,Atk/Spd Catch 1,"At start of combat, if foe's HP = 100% or if【Penalty】is active on foe, grants Atk/Spd+3 to unit during combat.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",60,
,Atk/Spd Catch 2,"At start of combat, if foe’s HP = 100% or if【Penalty】is active on foe, grants Atk/Spd+4 to unit during combat.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",120,
,Atk/Spd Catch 3,"At start of combat, if foe’s HP = 100% or if【Penalty】is active on foe, grants Atk/Spd+5 to unit during combat.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",240,
,Atk/Spd Clash 1,"If unit or foe initiates combat after moving to a different space, grants bonus to unit's Atk/Spd during combat = X + 1. (X = number of spaces from start position to end position of whoever initiated combat; max 1.)",60,
,Atk/Spd Clash 2,"If unit or foe initiates combat after moving to a different space, grants bonus to unit's Atk/Spd during combat = X + 3. (X = number of spaces from start position to end position of whoever initiated combat; max 2.)",120,
,Atk/Spd Clash 3,"If unit or foe initiates combat after moving to a different space, grants bonus to unit's Atk/Spd during combat = X + 5. (X = number of spaces from start position to end position of whoever initiated combat; max 3.)",240,
,Atk/Spd Finish 1,"If unit is within 3 spaces of an ally, grants Atk/Spd+2 to unit during combat, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +1 damage during combat. (Except when dealing damage with area-of-effect Specials.)",60,
,Atk/Spd Finish 2,"If unit is within 3 spaces of an ally, grants Atk/Spd+4 to unit during combat, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +3 damage during combat. (Except when dealing damage with area-of-effect Specials.)",120,
,Atk/Spd Finish 3,"If unit is within 3 spaces of an ally, grants Atk/Spd+6 to unit during combat, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +5 damage during combat. (Except when dealing damage with area-of-effect Specials.)",240,
,Atk/Spd Form 1,"If unit is within 2 spaces of an ally, grants Atk/Spd+X to unit during combat (X = number of allies within 2 spaces; max 3).",60,
,Atk/Spd Form 2,"If unit is within 2 spaces of an ally, grants Atk/Spd+X to unit during combat (X = number of allies within 2 spaces + 2; max 5).",120,
,Atk/Spd Form 3,"If unit is within 2 spaces of an ally, grants Atk/Spd+X to unit during combat (X = 2 × number of allies within 2 spaces, + 1; max 7).",240,
,Atk/Spd Ideal 1,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Atk/Spd+3 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",60,
,Atk/Spd Ideal 2,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Atk/Spd+4 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",120,
,Atk/Spd Ideal 3,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Atk/Spd+5 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",240,
,Atk/Spd Oath 1,"At start of turn, if unit is adjacent to an ally, grants Atk/Spd+3 to unit for 1 turn.",60,
,Atk/Spd Oath 2,"At start of turn, if unit is adjacent to an ally, grants Atk/Spd+4 to unit for 1 turn.",120,
,Atk/Spd Oath 3,"At start of turn, if unit is adjacent to an ally, grants Atk/Spd+5 to unit for 1 turn.",240,
,Atk/Spd Prime 1,"If【Bonus】is active on unit, grants Atk/Spd+X to unit during combat (X = number of【Bonus】effects active on unit, excluding stat bonuses, × 2, + 1; max 3).【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",60,
,Atk/Spd Prime 2,"If【Bonus】is active on unit, grants Atk/Spd+X to unit during combat (X = number of【Bonus】effects active on unit, excluding stat bonuses, × 2, + 1; max 5).【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",120,
,Atk/Spd Prime 3,"If【Bonus】is active on unit, grants Atk/Spd+X to unit during combat (X = number of【Bonus】effects active on unit, excluding stat bonuses, × 2, + 3; max 7).【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",240,
,Atk/Spd Push 1,"At start of combat, if unit's HP = 100%, grants Atk/Spd+3, but if unit attacked, deals 1 damage to unit after combat.",60,
,Atk/Spd Push 2,"At start of combat, if unit's HP = 100%, grants Atk/Spd+4, but if unit attacked, deals 1 damage to unit after combat.",120,
,Atk/Spd Push 3,"At start of combat, if unit's HP = 100%, grants Atk/Spd+5, but if unit attacked, deals 1 damage to unit after combat.",240,
,Atk/Spd Rein 1,Inflicts Atk/Spd-2 on foes within 2 spaces during combat.,60,
,Atk/Spd Rein 2,Inflicts Atk/Spd-3 on foes within 2 spaces during combat.,120,
,Atk/Spd Rein 3,Inflicts Atk/Spd-4 on foes within 2 spaces during combat.,240,
,Atk/Spd Snag 1,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, inflicts Atk/Spd-2 on nearest foes within 4 spaces of both unit and target through their next actions.",60,
,Atk/Spd Snag 2,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, inflicts Atk/Spd-4 on nearest foes within 4 spaces of both unit and target through their next actions.",120,
,Atk/Spd Snag 3,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, inflicts Atk/Spd-6 on nearest foes within 4 spaces of both unit and target through their next actions.",240,
,Atk/Spd Solo 1,"If unit is not adjacent to an ally, grants Atk/Spd+2 during combat.",60,
,Atk/Spd Solo 2,"If unit is not adjacent to an ally, grants Atk/Spd+4 during combat.",120,
,Atk/Spd Solo 3,"If unit is not adjacent to an ally, grants Atk/Spd+6 during combat.",240,
,Attack +1,Grants Atk+1.,30,
,Attack +2,Grants Atk+2.,60,
,Attack +3,Grants Atk+3.,120,
,Attack/Def +1,Grants Atk/Def+1.,80,
,Attack/Def +2,Grants Atk/Def+2.,160,
,Attack/Res 1,Grants Atk/Res+1.,80,
,Attack/Res 2,Grants Atk/Res+2.,160,
,Beast,Removes the condition to transform.,240,
,Blade Session 1,"If unit initiates combat, grants bonus to unit's Atk/Spd during combat = 1 + number of allies who have already acted (max value of 3).",60,
,Blade Session 2,"If unit initiates combat, grants bonus to unit's Atk/Spd during combat = 2 + number of allies who have already acted × 2 (max value of 6).",120,
,Blade Session 3,"If unit initiates combat, grants bonus to unit's Atk/Spd during combat = 3 + number of allies who have already acted × 3 (max value of 9).",240,
,Blaze Dance 1,"If Sing or Dance is used, grants Atk+2 to target.",50,
,Blaze Dance 2,"If Sing or Dance is used, grants Atk+3 to target.",100,
,Blaze Dance 3,"If Sing or Dance is used, grants Atk+4 to target.",200,
,Bold Fighter 1,"If unit's HP = 100% and unit initiates combat, grants Special cooldown charge +1 per unit's attack, and unit makes a guaranteed follow-up attack. (Does not stack.)",60,
,Bold Fighter 2,"If unit's HP ≥ 50% and unit initiates combat, grants Special cooldown charge +1 per unit's attack, and unit makes a guaranteed follow-up attack. (Does not stack.)",120,
,Bold Fighter 3,"If unit initiates combat, grants Special cooldown charge +1 per unit's attack, and unit makes a guaranteed follow-up attack. (Does not stack.)",240,
,Bonus Doubler 1,Grants bonus to Atk/Spd/Def/Res during combat = 50% of current bonus on each of unit's stats. Calculates each stat bonus independently.,60,
,Bonus Doubler 2,Grants bonus to Atk/Spd/Def/Res during combat = 75% of current bonus on each of unit's stats. Calculates each stat bonus independently.,120,
,Bonus Doubler 3,Grants bonus to Atk/Spd/Def/Res during combat = current bonus on each of unit's stats. Calculates each stat bonus independently.,240,
,Bracing Blow 1,"If unit initiates combat, grants Def/Res+2 during combat.",120,
,Bracing Blow 2,"If unit initiates combat, grants Def/Res+4 during combat.",240,
,Bracing Stance 1,"If foe initiates combat, grants Def/Res+2 during combat.",120,
,Bracing Stance 2,"If foe initiates combat, grants Def/Res+4 during combat.",240,
,Brash Assault 1,"If unit initiates combat against a foe that can counter and unit's HP ≤ 30%, unit makes a guaranteed follow-up attack.",50,
,Brash Assault 2,"If unit initiates combat against a foe that can counter and unit's HP ≤ 40%, unit makes a guaranteed follow-up attack.",100,
,Brash Assault 3,"If unit initiates combat against a foe that can counter and unit's HP ≤ 50%, unit makes a guaranteed follow-up attack.",200,
,Brazen Atk/Def 1,"At start of combat, if unit's HP ≤ 80%, grants Atk/Def+3 during combat.",60,
,Brazen Atk/Def 2,"At start of combat, if unit's HP ≤ 80%, grants Atk/Def+5 during combat.",120,
,Brazen Atk/Def 3,"At start of combat, if unit's HP ≤ 80%, grants Atk/Def+7 during combat.",240,
,Brazen Atk/Res 1,"At start of combat, if unit's HP ≤ 80%, grants Atk/Res+3 during combat.",60,
,Brazen Atk/Res 2,"At start of combat, if unit's HP ≤ 80%, grants Atk/Res+5 during combat.",120,
,Brazen Atk/Res 3,"At start of combat, if unit's HP ≤ 80%, grants Atk/Res+7 during combat.",240,
,Brazen Atk/Spd 1,"At start of combat, if unit's HP ≤ 80%, grants Atk/Spd+3 during combat.",60,
,Brazen Atk/Spd 2,"At start of combat, if unit's HP ≤ 80%, grants Atk/Spd+5 during combat.",120,
,Brazen Atk/Spd 3,"At start of combat, if unit's HP ≤ 80%, grants Atk/Spd+7 during combat.",240,
,Brazen Def/Res 1,"At start of combat, if unit's HP ≤ 80%, grants Def/Res+3 during combat.",60,
,Brazen Def/Res 2,"At start of combat, if unit's HP ≤ 80%, grants Def/Res+5 during combat.",120,
,Brazen Def/Res 3,"At start of combat, if unit's HP ≤ 80%, grants Def/Res+7 during combat.",240,
,Brazen Spd/Def 1,"At start of combat, if unit's HP ≤ 80%, grants Spd/Def+3 during combat.",60,
,Brazen Spd/Def 2,"At start of combat, if unit's HP ≤ 80%, grants Spd/Def+5 during combat.",120,
,Brazen Spd/Def 3,"At start of combat, if unit's HP ≤ 80%, grants Spd/Def+7 during combat.",240,
,Brazen Spd/Res 1,"At start of combat, if unit's HP ≤ 80%, grants Spd/Res+3 during combat.",60,
,Brazen Spd/Res 2,"At start of combat, if unit's HP ≤ 80%, grants Spd/Res+5 during combat.",120,
,Brazen Spd/Res 3,"At start of combat, if unit's HP ≤ 80%, grants Spd/Res+7 during combat.",240,
,Breath of Life 1,"If unit initiates combat, restores 3 HP to adjacent allies after combat.",50,
,Breath of Life 2,"If unit initiates combat, restores 5 HP to adjacent allies after combat.",100,
,Breath of Life 3,"If unit initiates combat, restores 7 HP to adjacent allies after combat.",200,
,Chill Atk 1,"At start of turn, inflicts Atk-3 on foe on the enemy team with the highest Atk through its next action.",60,
,Chill Atk 2,"At start of turn, inflicts Atk-5 on foe on the enemy team with the highest Atk through its next action.",120,
,Chill Atk 3,"At start of turn, inflicts Atk-7 on foe on the enemy team with the highest Atk through its next action.",240,
,Chill Atk/Def 1,"At start of turn, inflicts Atk/Def-3 on foe on the enemy team with the highest Atk+Def total through its next action.",120,
,Chill Atk/Def 2,"At start of turn, inflicts Atk/Def-5 on foe on the enemy team with the highest Atk+Def total through its next action.",240,
,Chill Atk/Res 1,"At start of turn, inflicts Atk/Res-3 on foe on the enemy team with the highest Atk+Res total through its next action.",120,
,Chill Atk/Res 2,"At start of turn, inflicts Atk/Res-5 on foe on the enemy team with the highest Atk+Res total through its next action.",240,
,Chill Def 1,"At start of turn, inflicts Def-3 on foe on the enemy team with the highest Def through its next action.",60,
,Chill Def 2,"At start of turn, inflicts Def-5 on foe on the enemy team with the highest Def through its next action.",120,
,Chill Def 3,"At start of turn, inflicts Def-7 on foe on the enemy team with the highest Def through its next action.",240,
,Chill Def/Res 1,"At start of turn, inflicts Def/Res-3 on foe on the enemy team with the highest Def+Res total through its next action.",120,
,Chill Def/Res 2,"At start of turn, inflicts Def/Res-5 on foe on the enemy team with the highest Def+Res total through its next action.",240,
,Chill Res 1,"At start of turn, inflicts Res-3 on foe on the enemy team with the highest Res through its next action.",60,
,Chill Res 2,"At start of turn, inflicts Res-5 on foe on the enemy team with the highest Res through its next action.",120,
,Chill Res 3,"At start of turn, inflicts Res-7 on foe on the enemy team with the highest Res through its next action.",240,
,Chill Spd 1,"At start of turn, inflicts Spd-3 on foe on the enemy team with the highest Spd through its next action.",60,
,Chill Spd 2,"At start of turn, inflicts Spd-5 on foe on the enemy team with the highest Spd through its next action.",120,
,Chill Spd 3,"At start of turn, inflicts Spd-7 on foe on the enemy team with the highest Spd through its next action.",240,
,Chill Spd/Def 1,"At start of turn, inflicts Spd/Def-3 on foe on the enemy team with the highest Spd+Def total through its next action.",120,
