Icon,Name,Description,SP,Exclusive
,A/S Far Trace 2,"Enables【Canto (Rem.)】.Inflicts Atk/Spd-2 on foe during combat.【Canto (Rem.)】After an attack, Assist skill, or structure destruction, unit can move spaces = any movement not already used that turn. (If unit used a movement skill that warped them, its remaining movement is 0.)(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",120,No
,A/S Far Trace 3,"Enables【Canto (Rem.)】.Inflicts Atk/Spd-3 on foe during combat.【Canto (Rem.)】After an attack, Assist skill, or structure destruction, unit can move spaces = any movement not already used that turn. (If unit used a movement skill that warped them, its remaining movement is 0.)(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",240,No
,A/S Near Trace 1,"Enables【Canto (Rem. +1)】.Inflicts Atk/Spd-1 on foe during combat.【Canto (Rem. +1)】After an attack, Assist skill, or structure destruction, unit can move again.The distance of the movement is the remaining movement the unit had before the actions listed above+1 (If unit used a movement skill that warps them, the remainder is 0).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",60,No
,A/S Near Trace 2,"Enables【Canto (Rem. +1)】.Inflicts Atk/Spd-2 on foe during combat.【Canto (Rem. +1)】After an attack, Assist skill, or structure destruction, unit can move again.The distance of the movement is the remaining movement the unit had before the actions listed above+1 (If unit used a movement skill that warps them, the remainder is 0).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",120,No
,A/S Near Trace 3,"Enables【Canto (Rem. +1)】.Inflicts Atk/Spd-3 on foe during combat.【Canto (Rem. +1)】After an attack, Assist skill, or structure destruction, unit can move again.The distance of the movement is the remaining movement the unit had before the actions listed above+1 (If unit used a movement skill that warps them, the remainder is 0).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",240,No
,A/S Spiked Wall,"Foes with Range = 1 cannot move through spaces adjacent to unit (does not affect foes with Pass skills).Foes with Range = 2 cannot move through spaces within 2 spaces of unit (does not affect foes with Pass skills).Inflicts Atk/Spd-4 on foe, deals damage = 15% of unit's Spd (excluding area-of-effect Specials), reduces damage from foe's first attack by 7 (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat.",300,No
,According to Plan,"At start of turn, if unit's HP ≥ 25%, grants Atk/Spd+6 and【Canto (１)】to unit and allies within 2 spaces of unit for 1 turn and inflicts【Hush Spectrum】and【Panic】on closest foes and any foe within 2 spaces of those foes through their next actions.At start of combat, if unit's HP ≥ 25%, inflicts Atk/Spd/Res-5 on foe, unit deals +X × 5 damage (max 25; excluding area-of-effect Specials), and reduces damage from foe's first attack by X × 3 (max 15) during combat (X = number of Bonus effects active on unit, excluding stat bonuses + number of Penalty effects active on foe, excluding stat penalties; ""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes).【Canto (１)】After an attack, Assist skill, or structure destruction, unit can move １ space(s).(Once per turn. Only highest value applied. Does not stack.)【Hush Spectrum】Inflicts Atk/Spd/Def/Res-5 on unit during combat. If unit's attack can trigger unit's Special, inflicts Special cooldown count+1 on unit before unit's first attack during combat (cannot exceed the unit's maximum Special cooldown). If unit's maximum Special cooldown count is reduced (Special trigger is accelerated) and if foe's attack can trigger foe's Special, grants Special cooldown count-1 to foe before unit's first attack during combat.【Panic】Converts bonuses on target into penalties through its next action.",300,Yes
,Aerial Maneuvers,"Unit can move to a space within 2 spaces of any ally within 2 spaces. At start of combat, if both unit's and foe's HP ≥ 50%, inflicts Spd/Def-4 on foe during combat, and also, if unit initiates combat, unit can make a follow-up attack before foe can counterattack during combat.",300,No
,Aerobatics 1,"If unit's HP = 100%, unit can move to a space adjacent to any infantry, armored, or cavalry ally within 2 spaces.",60,No
,Aerobatics 2,"If unit's HP ≥ 50%, unit can move to a space adjacent to any infantry, armored, or cavalry ally within 2 spaces.",120,No
,Aerobatics 3,"Unit can move to a space adjacent to any infantry, armored, or cavalry ally within 2 spaces.",240,No
,Armored Wall,"At start of combat, if unit's HP ≥ 25%, grants Special cooldown charge +1 to unit, inflicts Special cooldown charge -1 on foe per attack during combat (only highest value applied; does not stack), and restores 7 HP to unit after combat.During unit's first combat in player phase or enemy phase, at start of combat, if unit's HP ≥ 25% while transformed, reduces damage from foe's first attack by 40%.",300,Yes
,Assassin's Strike,"If unit initiates combat, deals 7 damage to foe as combat begins (effects that reduce damage during combat do not apply; will not reduce foe's HP below 1), inflicts Spd/Def-4 on foe during combat, and deals damage = 20% of foe's Def (excluding area-of-effect Specials).",300,No
,Assault Fighter,"If unit initiates combat or is within 3 spaces of an ally, inflicts Atk/Def-4 on foe, deals damage = 20% of unit's Def (excluding area-of-effect Specials), reduces damage from foe's attacks by 20% of unit's Def (excluding area-of-effect Specials), unit makes a guaranteed follow-up attack, and reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% during combat (excluding area-of-effect Specials).",300,No
,Assault Force,"If unit initiates combat or is within 2 spaces of an ally, inflicts Spd/Def-4 on foe, neutralizes penalties on unit, deals damage = 20% of the greater of unit's Spd or Def (excluding area-of-effect Specials), and reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% during combat (excluding area-of-effect Specials).",300,No
,Assured Rebirth,"If unit's Res > foe's Res, unit makes a guaranteed follow-up attack. Reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = number of staff or dragon allies within 3 spaces of unit × 20, and also, if unit's Res > foe's Res, difference between stats × 4 (max 40%; total max 60%).",300,Yes
,Atk Cantrip 1,"If Sing or Dance is used, inflicts Atk-3 on nearest foes within 4 spaces of unit through their next actions.",60,No
,Atk Cantrip 2,"If Sing or Dance is used, inflicts Atk-5 on nearest foes within 4 spaces of unit through their next actions.",120,No
,Atk Cantrip 3,"If Sing or Dance is used, inflicts Atk-7 on nearest foes within 4 spaces of unit through their next actions.",240,No
,Atk/Def Bulwark 1,"Foes with Range = 1 cannot move through spaces adjacent to unit, and foes with Range = 2 cannot move through spaces within 2 spaces of unit. (Does not affect foes with Pass skills.) Inflicts Atk/Def-2 on foe during combat. Restores 3 HP to unit after combat.",60,No
,Atk/Def Bulwark 2,"Foes with Range = 1 cannot move through spaces adjacent to unit, and foes with Range = 2 cannot move through spaces within 2 spaces of unit. (Does not affect foes with Pass skills.) Inflicts Atk/Def-3 on foe during combat. Restores 5 HP to unit after combat.",120,No
,Atk/Def Bulwark 3,"Foes with Range = 1 cannot move through spaces adjacent to unit, and foes with Range = 2 cannot move through spaces within 2 spaces of unit. (Does not affect foes with Pass skills.) Inflicts Atk/Def-4 on foe during combat. Restores 7 HP to unit after combat.",240,No
,Atk/Def Link 1,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, grants Atk/Def+2 to unit and target ally or unit and targeting ally for 1 turn.",60,No
,Atk/Def Link 2,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, grants Atk/Def+4 to unit and target ally or unit and targeting ally for 1 turn.",120,No
,Atk/Def Link 3,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, grants Atk/Def+6 to unit and target ally or unit and targeting ally for 1 turn.",240,No
,Atk/Def Ruse 1,"If a Rally Assist skill is used by unit or targets unit, inflicts Atk/Def-1 and【Guard】on foes in cardinal directions of unit and target through their next actions.【Guard】Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)",60,No
,Atk/Def Ruse 2,"If a Rally Assist skill is used by unit or targets unit, inflicts Atk/Def-3 and【Guard】on foes in cardinal directions of unit and target through their next actions.【Guard】Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)",120,No
,Atk/Def Ruse 3,"If a Rally Assist skill is used by unit or targets unit, inflicts Atk/Def-5 and【Guard】on foes in cardinal directions of unit and target through their next actions.【Guard】Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)",240,No
,Atk/Def Snag 1,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, inflicts Atk/Def-2 on nearest foes within 4 spaces of both unit and target through their next actions.",60,No
,Atk/Def Snag 2,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, inflicts Atk/Def-4 on nearest foes within 4 spaces of both unit and target through their next actions.",120,No
,Atk/Def Snag 3,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, inflicts Atk/Def-6 on nearest foes within 4 spaces of both unit and target through their next actions.",240,No
,Atk/Def Snag 4,"Inflicts Atk/Def-4 on foe during combat. If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, inflicts Atk/Def-7 and【Sabotage】on nearest foes within 4 spaces of both unit and target ally after movement and on foes within 2 spaces of those foes equipped with a skill that can trigger the Savior effect through their next actions.【Sabotage】Inflicts penalty on unit's Atk/Spd/Def/Res during combat = highest penalty on each stat between unit and allies within 2 spaces of unit through its next action. Calculates each stat penalty independently.",300,No
,Atk Feint 1,"If a Rally Assist skill is used by unit or targets unit, inflicts Atk-3 on foes in cardinal directions of unit through their next actions.",60,No
,Atk Feint 2,"If a Rally Assist skill is used by unit or targets unit, inflicts Atk-5 on foes in cardinal directions of unit through their next actions.",120,No
,Atk Feint 3,"If a Rally Assist skill is used by unit or targets unit, inflicts Atk-7 on foes in cardinal directions of unit through their next actions.",240,No
,Atk/Res Detect,"Inflicts Atk/Res-4 on foe during combat.If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, inflicts【Exposure】on closest foes within 5 spaces of both unit and target ally or unit and targeting ally after movement and foes within 2 spaces of those foes through their next actions.Inflicts Atk/Res-5 on foes on the map with the 【Exposure】effect active and neutralizes bonuses to Atk/Res for those foes during combat.【Exposure】Foe's attacks deal +10 damage.",300,No
,Atk/Res Discord,"At start of player phase or enemy phase, inflicts Atk/Res-6 and【Discord】on foes with Res < unit's Res and that are within 2 spaces of another foe through their next actions.Inflicts penalty on foe's Atk/Res during combat = number of foes inflicted with【Discord】 within 2 spaces of target, including target, × 2, + 4 (max 10) and deals damage = 15% of unit's Res (excluding area-of-effect Specials).【Discord】Inflicts Atk/Spd/Def/Res-X on unit during combat (X = 2 + number of allies within 2 spaces of unit; max 5) through its next action.",300,No
,Atk/Res Havoc,"At start of player phase or enemy phase, inflicts Atk/Res-7,【Sabotage】, and【Schism】 on foes with Res < unit's Res and that are within 2 spaces of another foe through their next actions.After start-of-turn skills trigger on unit's player phase, if the number of foes with the 【Sabotage】effect active on the map ≥ 2, grants 【Canto (１)】to unit for 1 turn.Inflicts Atk/Res-4 on foe and deals damage = 20% of unit's Res during combat (excluding area-of-effect Specials).【Sabotage】Inflicts penalty on unit's Atk/Spd/Def/Res during combat = highest penalty on each stat between unit and allies within 2 spaces of unit through its next action. Calculates each stat penalty independently.【Schism】Neutralizes Triangle Attack, Dual Strike, and Pathfinder effects active on unit through unit's next action. Unit is excluded from ally Triangle Attack and Dual Strike effects calculated using numbers of allies. When this status (Schism) is neutralized, Triangle Attack, Dual Strike, and Pathfinder effects are also neutralized.【Canto (１)】After an attack, Assist skill, or structure destruction, unit can move １ space(s).(Once per turn. Only highest value applied. Does not stack.)",300,No
,Atk/Res Link 1,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, grants Atk/Res+2 to unit and target ally or unit and targeting ally for 1 turn.",60,No
,Atk/Res Link 2,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, grants Atk/Res+4 to unit and target ally or unit and targeting ally for 1 turn.",120,No
,Atk/Res Link 3,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, grants Atk/Res+6 to unit and target ally or unit and targeting ally for 1 turn.",240,No
,Atk/Res Ruse 1,"If a Rally Assist skill is used by unit or targets unit, inflicts Atk/Res-1 and【Guard】on foes in cardinal directions of unit and target through their next actions.【Guard】Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)",60,No
,Atk/Res Ruse 2,"If a Rally Assist skill is used by unit or targets unit, inflicts Atk/Res-3 and【Guard】on foes in cardinal directions of unit and target through their next actions.【Guard】Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)",120,No
,Atk/Res Ruse 3,"If a Rally Assist skill is used by unit or targets unit, inflicts Atk/Res-5 and【Guard】on foes in cardinal directions of unit and target through their next actions.【Guard】Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)",240,No
,Atk/Res Snag 1,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, inflicts Atk/Res-2 on nearest foes within 4 spaces of both unit and target through their next actions.",60,No
,Atk/Res Snag 2,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, inflicts Atk/Res-4 on nearest foes within 4 spaces of both unit and target through their next actions.",120,No
,Atk/Res Snag 3,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, inflicts Atk/Res-6 on nearest foes within 4 spaces of both unit and target through their next actions.",240,No
,Atk/Res Tempo 1,"Inflicts Atk/Res-1 on foe and neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit during combat.",60,No
,Atk/Res Tempo 2,"Inflicts Atk/Res-2 on foe and neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit during combat.",120,No
,Atk/Res Tempo 3,"Inflicts Atk/Res-3 on foe and neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit during combat.",240,No
,Atk/Res Tempo 4,"Inflicts Atk/Res-4 on foe, neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit, and reduces the percentage of foe's non-Special ""reduces damage by X%"" skills by 50% during combat (example: a foe with a ""reduces damage by 45%"" skill would reduce damage by 23% instead).",300,No
,Atk/Spd Bulwark 1,"Foes with Range = 1 cannot move through spaces adjacent to unit, and foes with Range = 2 cannot move through spaces within 2 spaces of unit. (Does not affect foes with Pass skills.) Inflicts Atk/Spd-2 on foe during combat. Restores 3 HP to unit after combat.",60,No
,Atk/Spd Bulwark 2,"Foes with Range = 1 cannot move through spaces adjacent to unit, and foes with Range = 2 cannot move through spaces within 2 spaces of unit. (Does not affect foes with Pass skills.) Inflicts Atk/Spd-3 on foe during combat. Restores 5 HP to unit after combat.",120,No
,Atk/Spd Bulwark 3,"Foes with Range = 1 cannot move through spaces adjacent to unit, and foes with Range = 2 cannot move through spaces within 2 spaces of unit. (Does not affect foes with Pass skills.) Inflicts Atk/Spd-4 on foe during combat. Restores 7 HP to unit after combat.",240,No
,Atk/Spd Link 1,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, grants Atk/Spd+2 to unit and target ally or unit and targeting ally for 1 turn.",60,No
,Atk/Spd Link 2,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, grants Atk/Spd+4 to unit and target ally or unit and targeting ally for 1 turn.",120,No
,Atk/Spd Link 3,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, grants Atk/Spd+6 to unit and target ally or unit and targeting ally for 1 turn.",240,No
