Sprite,Weapon,Might,Range,Description,SP,Exclusive
,Carrot-Tip Bow,8,2,"Effective against flying foes. At start of combat, if foe's HP ≥ 75% or【Penalty】is active on foe, grants Atk/Def+5 to unit during combat and unit's first attack during combat deals damage = total Atk/Def penalties on foe.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",200,No
,Carrot-Tip Bow+,12,2,"Effective against flying foes. At start of combat, if foe's HP ≥ 75% or【Penalty】is active on foe, grants Atk/Def+5 to unit during combat and unit's first attack during combat deals damage = total Atk/Def penalties on foe.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",300,No
,Clarisse's Bow,7,2,"Effective against flying foes.If unit initiates combat, inflicts Atk/Spd-5 on foes within 2 spaces of target through their next actions after combat.",200,No
,Clarisse's Bow+,11,2,"Effective against flying foes.If unit initiates combat, inflicts Atk/Spd-5 on foes within 2 spaces of target through their next actions after combat.",300,No
,Cocobow,8,2,"Effective against flying foes.If unit initiates combat, grants Atk/Spd/Def/Res+2 during combat.",200,No
,Cocobow+,12,2,"Effective against flying foes.If unit initiates combat, grants Atk/Spd/Def/Res+2 during combat.",300,No
,Coral Bow,8,2,Effective against flying foes. Inflicts Spd/Def-5 on foes within 2 spaces during combat.,200,No
,Coral Bow+,12,2,Effective against flying foes. Inflicts Spd/Def-5 on foes within 2 spaces during combat.,300,No
,Courtly Bow,8,2,"Effective against flying foes. At start of combat, if unit's HP ≥ 50%, grants Atk/Def+5 during combat, and also, if foe can make a follow-up attack, reduces damage from foe's first attack by 50%.",200,No
,Courtly Bow+,12,2,"Effective against flying foes. At start of combat, if unit's HP ≥ 50%, grants Atk/Def+5 during combat, and also, if foe can make a follow-up attack, reduces damage from foe's first attack by 50%.",300,No
,Cunning Bow,14,2,"Grants Spd+3. Effective against flying foes. When total bonuses on unit + total penalties on foe ≥ 10, inflicts Atk/Spd/Def/Res-5 on foe during combat. (Example: if unit has a +5 bonus and foe has a -5 penalty, the calculated total will be 10.)",400,Yes
,Cupid Arrow,8,2,"Effective against flying foes.If unit initiates combat, grants Def/Res+2 to allies within 2 spaces for 1 turn after combat.",200,No
,Cupid Arrow+,12,2,"Effective against flying foes. If unit initiates combat, grants Def/Res+2 to allies within 2 spaces for 1 turn after combat.",300,No
,Damiell Bow,14,2,"Effective against flying foes. Grants Spd+3. If a Rally Assist skill is used by unit, grants target【Bonus Doubler】and target can move 1 extra space. (That turn only. Does not stack. No effect on cavalry allies with Range = 2.) At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+6 to unit during combat.【Bonus Doubler】Grants bonus to Atk/Spd/Def/Res during combat = current bonus on each of unit's stats for 1 turn. Calculates each stat bonus independently.",400,Yes
,Daniel-Made Bow,14,2,Accelerates Special trigger (cooldown count-1). Effective against flying foes. Grants Atk+5 to allies within 2 spaces during combat. Inflicts Atk-5 on foes within 2 spaces during combat.,400,Yes
,Deep-Blue Bow,14,2,"Grants Spd+3. Effective against flying and armored foes. If foe's HP = 100% and unit initiates combat, grants Atk/Spd/Def/Res+4 during combat.",400,Yes
,Deer's Heart,14,2,"Enables【Canto (Rem.; Min １)】.Accelerates Special trigger (cooldown count-1).Effective against flying foes.After Canto (including cases where action is ended due to Canto Control), if unit entered combat on the current turn, grants another action to unit, and re-enables Canto (once per turn; does not trigger when affected by effects of traps in Aether Raids during Canto).At start of turn, if unit is within 2 spaces of an ally, grants【Null Follow-Up】and【Preempt Pulse】 to unit and allies within 2 spaces of unit for 1 turn.If unit initiates combat or is within 2 spaces of an ally, grants bonus to unit's Atk/Spd/Def/Res = 15% of unit's Spd at start of combat + 5, neutralizes foe's bonuses to Spd/Def, deals +X × 5 damage (X = number of Bonus effects active on unit, excluding stat bonuses + number of Penalty effects active on foe, excluding stat penalties; max 5; excluding area-of-effect Specials), and neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat, and restores 7 HP to unit after combat.【Canto (Rem.; Min １)】After an attack, Assist skill, or structure destruction, unit can move spaces = any movement not already used that turn (min. １; if unit used a movement skill that warped them, unit can move １ space(s)).(Once per turn. Only highest value applied. Does not stack.)【Null Follow-Up】If unit's Spd > foe's Spd during combat, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks for 1 turn.【Preempt Pulse】Grants Special cooldown count-1 to unit before unit's first attack during combat.",400,Yes
,Defier's Bow,8,2,"Effective against flying foes. At start of combat, if foe's HP ≥ 75%, grants Def+5 to unit and inflicts Def-5 on foe during combat, and also, if foe has bonuses, grants bonus to unit's Def and inflicts penalty on foe's Def during combat = current bonus on foe's Def. Calculates each stat bonus and penalty independently.",200,No
,Defier's Bow+,12,2,"Effective against flying foes. At start of combat, if foe's HP ≥ 75%, grants Def+5 to unit and inflicts Def-5 on foe during combat, and also, if foe has bonuses, grants bonus to unit's Def and inflicts penalty on foe's Def during combat = current bonus on foe's Def. Calculates each stat bonus and penalty independently.",300,No
,Destiny's Bow,14,2,"Accelerates Special trigger (cooldown count-1). Effective against flying and armored foes. If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit during turns 1 through 4, grants Special cooldown count-1 to unit and target ally or unit and targeting ally. (Once per turn only.) If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit during combat, and unit makes a guaranteed follow-up attack.",400,Yes
,Devilish Bow,8,2,Effective against flying foes. Inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.),200,No
,Devilish Bow+,12,2,Effective against flying foes. Inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.),300,No
,Dignified Bow,14,2,"Effective against flying foes. At start of turn, if any foe's HP ≤ unit's HP-1 and that foe is adjacent to another foe, inflicts【Panic】on that foe.【Panic】Converts bonuses on target into penalties through its next action.",400,Yes
,Divine Yewfelle,14,2,"Accelerates Special trigger (cooldown count-1).Effective against flying foes.At start of turn, if unit is within 2 spaces of an ally, grants Atk/Spd+6,【Incited】, and the following status to unit and allies within 2 spaces for 1 turn: ""Unit can move to a space adjacent to any ally within 2 spaces.""If unit initiates combat or is within 2 spaces of an ally, grants bonus to unit's Atk/Spd = 6 + 20% of unit's Spd at start of combat, unit deals +X damage (X = total number of 【Bonus】effects active on unit, excluding stat bonuses, and【Penalty】effects active on foe, excluding stat penalties, × 5; max 25; excluding area-of-effect Specials), grants Special cooldown count-2 to unit before unit's first follow-up attack, and disables skills of all foes excluding foe in combat during combat.【Incited】If unit initiates combat, grants bonus to unit's Atk/Spd/Def/Res = number of spaces from start position to end position of unit during combat (max 3; that turn only).【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",400,Yes
,Double Bow,14,2,"Accelerates Special trigger (cooldown count-1).Effective against flying foes. If unit is not adjacent to an ally, grants Atk/Spd/Def/Res+5 during combat and unit can counterattack regardless of foe's range.",400,Yes
,Doubler Bow,8,2,"Effective against flying foes.At start of turn, if unit is within 2 spaces of an ally, grants Atk/Res+6 to unit and allies within 2 spaces of unit for 1 turn.If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+X to unit during combat (X = 4 + highest bonus on each stat between unit and allies within 2 spaces of unit; calculates each stat bonus independently).",200,No
,Doubler Bow+,12,2,"Effective against flying foes.At start of turn, if unit is within 2 spaces of an ally, grants Atk/Res+6 to unit and allies within 2 spaces of unit for 1 turn.If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+X to unit during combat (X = 4 + highest bonus on each stat between unit and allies within 2 spaces of unit; calculates each stat bonus independently).",300,No
,Dusk Rifle,14,2,"Accelerates Special trigger (cooldown count-1).Effective against flying foes.At start of player phase or enemy phase, grants the following effects to unit and allies within 2 spaces of unit for 1 turn: Res+6, 【Bonus Doubler】, and ""reduces the percentage of foe's non-Special 'reduce damage by X%' skills by 50% during combat (excluding area-of-effect Specials).""After start-of-turn effects trigger on enemy phase, for unit and allies within 2 spaces of unit, converts penalties into bonuses and neutralizes two【Penalty】effects (does not apply to Penalty effects that are applied at the same time; neutralizes the first applicable Penalty effects on unit's list of active effects).If unit initiates combat or is within 2 spaces of an ally, grants bonus to unit's Atk/Spd/Def/Res = number of allies within 3 rows or 3 columns centered on unit × 3, + 5 (max 14), deals damage = 20% of unit's Res (excluding area-of-effect Specials), unit makes a guaranteed follow-up attack, and grants Special cooldown count-1 to unit before unit's first attack during combat.【Bonus Doubler】Grants bonus to Atk/Spd/Def/Res during combat = current bonus on each of unit's stats for 1 turn. Calculates each stat bonus independently.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",400,Yes
,Duskbloom Bow,14,2,"Accelerates Special trigger (cooldown count-1). Effective against flying foes. At start of player phase or enemy phase, if any foes in cardinal directions of unit have Res < unit's Res, inflicts Def/Res-7 and【Gravity】on those foes through their next actions. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit during combat and the following effects will occur based on the value of unit's Res minus foe's Res: if ≥ 1, unit makes a guaranteed follow-up attack; if ≥ 4, unit deals damage = 20% of unit's Res during combat (excluding area-of-effect Specials); if ≥ 7 and unit initiates combat, neutralizes effects that prevent unit's follow-up attacks and reduces damage from foe's first attack during combat by 30%.【Gravity】Restricts target's movement to 1 space through its next action.",400,Yes
,Failnaught,14,2,"Accelerates Special trigger (cooldown count-1). Effective against flying foes. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit during combat and neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat.",400,Yes
,Fiddlestick Bow,8,2,"Effective against flying foes. Grants Def/Res+4 to allies within 2 spaces during combat against sword, lance, axe, dragonstone, or beast foes.",200,No
,Fiddlestick Bow+,12,2,"Effective against flying foes. Grants Def/Res+4 to allies within 2 spaces during combat against sword, lance, axe, dragonstone, or beast foes.",300,No
,Firesweep Bow,7,2,Effective against flying foes. Unit and foe cannot counterattack.,200,No
,Firesweep Bow+,11,2,Effective against flying foes. Unit and foe cannot counterattack.,300,No
,First-Dream Bow,14,2,Effective against flying foes. Grants Res+3. Grants Atk+4 to allies within 3 spaces during combat. Inflicts Atk-4 on any foe within 3 spaces during combat.,400,Yes
,Fishie Bow,8,2,"Effective against flying foes. If unit's HP ≤ 75% and unit initiates combat, unit can make a follow-up attack before foe can counterattack.",200,No
,Fishie Bow+,12,2,"Effective against flying foes. If unit's HP ≤ 75% and unit initiates combat, unit can make a follow-up attack before foe can counterattack.",300,No
,Flame of Múspell,14,2,"Accelerates Special trigger (cooldown count-1). Effective against flying foes. If【Bonus】is active on unit, grants Atk/Spd+6 and Atk/Spd/Def/Res during combat = 50% of total bonuses on unit and foe (max: +12), and also, if total bonuses on unit and foe ≥ 10, neutralizes effects that prevent unit's follow-up attacks.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",400,Yes
,Flamefrost Bow,8,2,"Accelerates Special trigger (cooldown count-1). Effective against flying foes. Grants Def/Res+5 and inflicts Spd-8 on unit. Unit attacks twice. (Even if foe initiates combat, unit attacks twice.) Grants bonus to unit's Atk/Def/Res during combat = 70% of the highest value between the total bonuses of target and the total bonuses of an ally within 2 spaces of unit.",400,Yes
,Fortune Bow,8,2,"Effective against flying foes. At start of turn, if any foe's Res ≤ unit's Res-3 and that foe is adjacent to another foe, inflicts Def/Res-5 on that foe through its next action.",200,No
,Fortune Bow+,12,2,"Effective against flying foes. At start of turn, if any foe's Res ≤ unit's Res-3 and that foe is adjacent to another foe, inflicts Def/Res-5 on that foe through its next action.",300,No
,Fujin Yumi,14,2,"Effective against flying foes. If unit's HP ≥ 50%, unit can move through foes' spaces.",400,Yes
,Fujin-Raijin Yumi,14,2,"Enables【Canto (１)】.Accelerates Special trigger (cooldown count-1). Effective against flying and armored foes. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+6 to unit, deals damage = 20% of unit's Spd (including when dealing damage with a Special triggered before combat), and neutralizes effects that prevent unit's follow-up attacks during combat, and also, if unit has weapon-triangle advantage or unit's Spd > foe's Spd, foe cannot counterattack.【Canto (１)】After an attack, Assist skill, or structure destruction, unit can move １ space(s).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",400,Yes
,Gainful Bow,8,2,"Effective against flying foes. At start of turn, if unit's HP ≥ 25%, grants【Null Follow-Up】 and【Null Panic】to unit for 1 turn. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+X to unit during combat (X = number of【Bonus】effects active on unit and【Penalty】effects active on foe, excluding stat bonuses and stat penalties, × 2, + 5).【Null Follow-Up】If unit's Spd > foe's Spd during combat, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks for 1 turn.【Null Panic】If unit is inflicted with Panic (bonuses converted into penalties), neutralizes the ""converts bonuses on target into penalties"" effect for 1 turn. (Even though the effect is neutralized, the Panic status remains, and is treated as a Penalty status.)【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",200,No
,Gainful Bow+,12,2,"Effective against flying foes. At start of turn, if unit's HP ≥ 25%, grants【Null Follow-Up】 and【Null Panic】to unit for 1 turn. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+X to unit during combat (X = number of【Bonus】effects active on unit and【Penalty】effects active on foe, excluding stat bonuses and stat penalties, × 2, + 5).【Null Follow-Up】If unit's Spd > foe's Spd during combat, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks for 1 turn.【Null Panic】If unit is inflicted with Panic (bonuses converted into penalties), neutralizes the ""converts bonuses on target into penalties"" effect for 1 turn. (Even though the effect is neutralized, the Panic status remains, and is treated as a Penalty status.)【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",300,No
,Golden Yule Bow,8,2,"Effective against flying foes. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+4 and Atk/Spd/Def/Res+X to unit and grants Special cooldown count-X to unit before unit's first attack during combat (X = number of spaces from start position to end position of whoever initiated combat, max 3; if【Penalty】 effects are active on foe, then the value is treated as 3).【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",200,No
,Golden Yule Bow+,12,2,"Effective against flying foes. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+4 and Atk/Spd/Def/Res+X to unit and grants Special cooldown count-X to unit before unit's first attack during combat (X = number of spaces from start position to end position of whoever initiated combat, max 3; if【Penalty】 effects are active on foe, then the value is treated as 3).【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",300,No
,Gratia,8,2,"Effective against flying foes.If foe uses bow, dagger, magic, or staff, neutralizes foe's bonuses (from skills like Fortify, Rally, etc.) during combat.",200,No
,Gratia+,12,2,"Effective against flying foes. If foe uses bow, dagger, magic, or staff, neutralizes foe's bonuses (from skills like Fortify, Rally, etc.) during combat.",300,No
,Guard Bow,8,2,"Effective against flying foes.If foe initiates combat and uses bow, dagger, magic, or staff, grants Def/Res+6 to unit during combat.",200,No
,Guard Bow+,12,2,"Effective against flying foes.If foe initiates combat and uses bow, dagger, magic, or staff, grants Def/Res+6 to unit during combat.",300,No
,Guardian's Bow,14,2,"Accelerates Special trigger (cooldown count-1). Effective against flying foes. If unit's Spd > foe's Spd at start of combat or during combat, inflicts Atk/Spd/Def-5 on foe during combat. (If unit and foe both have this weapon equipped, effect is calculated first for whoever initiates combat.)",400,Yes
,Gusty War Bow,14,2,"Accelerates Special trigger (cooldown count-1). Effective against beast and flying foes. At start of turn, if unit is within 3 spaces of an ally and unit's Special cooldown count is at its maximum value, grants Special cooldown count-1 to unit. If unit is within 3 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit and reduces damage from foe's first attack by X% during combat (if in combat against a beast foe, or a cavalry or flying foe with Range = 2, X = 60; otherwise, X = 30), and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +7 damage during combat (except when dealing damage with area-of-effect Specials).",400,Yes
,Halting Bow,8,2,"Effective against flying foes. At start of combat, if unit's HP ≥ 25%, inflicts Atk/Def-5 on foe and foe cannot make a follow-up attack during combat.",200,No
,Halting Bow+,12,2,"Effective against flying foes. At start of combat, if unit's HP ≥ 25%, inflicts Atk/Def-5 on foe and foe cannot make a follow-up attack during combat.",300,No
,Hama Ya,8,2,Effective against flying foes.Grants Def/Res+2 to allies within 2 spaces during combat.,200,No
,Hama Ya+,12,2,Effective against flying foes.Grants Def/Res+2 to allies within 2 spaces during combat.,300,No
,Harp Bow,8,2,"Effective against flying foes.If unit initiates combat or foe's Range = 2, grants Atk/Spd/Def/Res+4 to unit, deals damage = 15% of unit's Spd (excluding area-of-effect Specials), and reduces damage from foe's first attack by X% during combat (if it is unit's first combat initiated by unit or first combat initiated by foe that turn, X = 60; otherwise, X = 30; ""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes).",200,No
,Harp Bow+,12,2,"Effective against flying foes.If unit initiates combat or foe's Range = 2, grants Atk/Spd/Def/Res+4 to unit, deals damage = 15% of unit's Spd (excluding area-of-effect Specials), and reduces damage from foe's first attack by X% during combat (if it is unit's first combat initiated by unit or first combat initiated by foe that turn, X = 60; otherwise, X = 30; ""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes).",300,No
,Heartbroker Bow,14,2,"Enables【Canto (Ally 2)】.Accelerates Special trigger (cooldown count-1). Effective against flying foes. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+X to unit (X = 5 + number of times unit has been enhanced using Dragonflowers, max 10), deals damage = 15% of unit's Spd (including when dealing damage with a Special triggered before combat), and neutralizes effects that prevent unit's follow-up attacks during combat.【Canto (Ally 2)】After an attack, Assist skill, or structure destruction, unit can move to a space adjacent to any ally within 2 spaces.(Once per turn. Cannot attack or assist. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Granted movement treated as Warp movement.)",400,Yes
,Heired Yewfelle,14,2,"Accelerates Special trigger (cooldown count-1). Effective against flying foes. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit, grants Atk/Spd+X to unit (X = 25% of foe's Atk at start of combat, - 8; min 0; max 10), neutralizes effects that inflict ""Special cooldown charge -X"" on unit, and reduces damage from foe's first attack by 30% during combat, and also restores 7 HP to unit after combat.",400,Yes
,Helm Bow,8,2,"Effective against flying foes. If unit is not adjacent to an ally, inflicts Spd/Def-5 on foe and neutralizes foe's bonuses to Spd/Def (from skills like Fortify, Rally, etc.) during combat.",200,No
,Helm Bow+,12,2,"Effective against flying foes. If unit is not adjacent to an ally, inflicts Spd/Def-5 on foe and neutralizes foe's bonuses to Spd/Def (from skills like Fortify, Rally, etc.) during combat.",300,No
