Sprite,Weapon,Might,Range,Description,SP,Exclusive
,Blade of Renais,16,1,"Accelerates Special trigger (cooldown count-1). If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit, and also, if【Bonus】or【Penalty】is active on unit, deals damage = 20% of foe's Def, and also, if unit deals damage to foe during combat, restores HP to unit = 20% of foe's Def. (Triggers even if 0 damage is dealt.)【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",400,Yes
,Blade of Sands,16,1,"Accelerates Special trigger (cooldown count-1). At start of turn, if unit is within 2 spaces of an ally, grants Spd/Res+6,【Bonus Doubler】, and【Null Panic】to unit and allies within 2 spaces of unit for 1 turn. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks, and deals damage = 20% of unit's Spd during combat (excluding area-of-effect Specials).【Bonus Doubler】Grants bonus to Atk/Spd/Def/Res during combat = current bonus on each of unit's stats for 1 turn. Calculates each stat bonus independently.【Null Panic】If unit is inflicted with Panic (bonuses converted into penalties), neutralizes the ""converts bonuses on target into penalties"" effect for 1 turn. (Even though the effect is neutralized, the Panic status remains, and is treated as a Penalty status.)",400,Yes
,Blade of Shadow,16,1,"Accelerates Special trigger (cooldown count-1). If foe initiates combat or if foe's HP = 100% at start of combat, neutralizes penalties on unit and inflicts Atk/Spd/Def-5 on foe during combat.",400,Yes
,Blazing Durandal,16,1,"Grants Atk+3. If unit's Atk > foe's Atk, grants Special cooldown charge +1 per unit's attack. (Only highest value applied. Does not stack.)",400,Yes
,Brave Sword,5,1,"Inflicts Spd-5. If unit initiates combat, unit attacks twice.",200,No
,Brave Sword+,8,1,"Inflicts Spd-5. If unit initiates combat, unit attacks twice.",300,No
,Bridal Blade,10,1,"If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+4 to unit and inflicts penalty on foe's Atk/Spd/Def/Res = current bonus on each of foe's stats × 2 during combat. (Calculates each stat penalty independently; example: if foe has +7 bonus to Atk, inflicts Atk-14, for a net penalty of Atk-7.)",200,No
,Bridal Blade+,14,1,"If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+4 to unit and inflicts penalty on foe's Atk/Spd/Def/Res = current bonus on each of foe's stats × 2 during combat. (Calculates each stat penalty independently; example: if foe has +7 bonus to Atk, inflicts Atk-14, for a net penalty of Atk-7.)",300,No
,Brilliant Rapier,16,1,"Effective against armored and cavalry foes. Grants Spd+3. If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Atk/Spd/Def/Res+4 to unit and neutralizes foe's bonuses to Spd/Def (from skills like Fortify, Rally, etc.) during combat. If unit's HP ≤ 80% and foe initiates combat, unit can counterattack before foe's first attack.",400,Yes
,Bull Blade,16,1,"During combat, boosts unit's Atk/Def by number of allies within 2 spaces × 2. (Maximum bonus of +6 to each stat.)",400,Yes
,Cake Cutter,10,1,"If unit initiates combat, grants Atk/Spd+4 during combat.",200,No
,Cake Cutter+,14,1,"If unit initiates combat, grants Atk/Spd+4 during combat.",300,No
,Caladbolg,16,1,"Accelerates Special trigger (cooldown count-1).At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+X to unit (X = 25% of foe's Atk at start of combat, - 4; max 14; min 5), neutralizes effects that inflict ""Special cooldown charge -X"" on unit, reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% (excluding area- of-effect Specials), and grants Special cooldown count-1 to unit before foe's first attack during combat. At start of combat, if unit's HP ≥ 25%, reduces damage from foe's attacks by Y during combat (when foe's attack triggers foe's Special, Y = 16; when foe's attack does not trigger foe's Special, Y = 8; excluding area-of-effect Specials), and unit's next attack deals damage = total damage reduced from foe's first attack (by any source, including other skills). Resets at end of combat.",400,Yes
,Campaign Blade,10,1,"At start of combat, if unit's HP ≥ 25%, grants Atk/Def+5 to unit during combat, inflicts Atk/Def-X on foe during combat (X = 25% of unit's HP at start of combat; max 10), and restores 10 HP to unit after combat.",200,No
,Campaign Blade+,14,1,"At start of combat, if unit's HP ≥ 25%, grants Atk/Def+5 to unit during combat, inflicts Atk/Def-X on foe during combat (X = 25% of unit's HP at start of combat; max 10), and restores 10 HP to unit after combat.",300,No
,Captain's Sword,16,1,"Accelerates Special trigger (cooldown count-1). Foes with Range = 1 cannot move through spaces adjacent to unit, and foes with Range = 2 cannot move through spaces within 2 spaces of unit (does not affect foes with Pass skills). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit and neutralizes foe's bonuses (from skills like Fortify, Rally, etc.) during combat, restores 7 HP to unit after combat, and also, if foe initiates combat and unit's Spd > foe's Spd, unit can counterattack before foe's first attack.",400,Yes
,Carnage Amatsu,16,1,"Grants Spd+3. Unit can counterattack regardless of foe's range. If unit is not adjacent to an ally and unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = difference between stats × 4 (max 40%).",400,Yes
,Carrot Cudgel,10,1,"If unit is within 2 spaces of an ally, grants Atk/Def+5 to unit and neutralizes unit's penalties to Atk/Def during combat.",200,No
,Carrot Cudgel+,14,1,"If unit is within 2 spaces of an ally, grants Atk/Def+5 to unit and neutralizes unit's penalties to Atk/Def during combat.",300,No
,Chaos Ragnell,16,1,"Unit can counterattack regardless of foe's range. Grants bonus to Atk/Spd/Def/Res during combat = current penalty on each of unit's stats × 2. (Example: if unit has -7 penalty to Atk, grants Atk+14, for a net bonus of Atk+7.) Calculates each stat bonus independently.",400,Yes
,Concealed Blade,16,1,Deals +10 damage when Special triggers.,400,Yes
,Conjurer Curios,16,1,"Effective against armored foes. Grants Atk+3. If it is an odd-numbered turn or if foe's HP < 100% at start of combat, grants Atk/Spd/Def/Res+4 to unit during combat.",400,Yes
,Coral Saber,10,1,"If unit initiates combat or is within 2 spaces of an ally, grants Atk/Def+5 to unit during combat and unit makes a guaranteed follow-up attack.",200,No
,Coral Saber+,14,1,"If unit initiates combat or is within 2 spaces of an ally, grants Atk/Def+5 to unit during combat and unit makes a guaranteed follow-up attack.",300,No
,Creator Sword,16,1,"Accelerates Special trigger (cooldown count-1). During combat, neutralizes effects that guarantee foe's follow-up attacks, prevent unit's follow-up attacks, grant ""Special cooldown charge +X"" to foe, or inflict ""Special cooldown charge -X"" on unit.",400,Yes
,Crimson Blades,11,1,"Grants Spd+5. Inflicts Def/Res-5. Unit attacks twice. At start of combat, the following effects will occur based on unit's HP: if ≥ 20%, grants Special cooldown charge +1 to unit per attack (only highest value applied; does not stack), and also, if ≥ 40%, reduces damage from foe's first attack during combat by 40%.",400,Yes
,Dark Creator S,16,1,"Grants Def+3. During combat, boosts unit's Atk/Def by number of allies with HP ≥ 90% × 2 (max 6). During unit's first combat in player phase or enemy phase, reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = number of allies with HP ≥ 90% × 15 (max 45%).",400,Yes
,Dark Greatsword,16,1,"If unit initiates combat, grants Atk/Spd+4 during combat.",400,Yes
,Dark Mystletainn,16,1,"Accelerates Special trigger (cooldown count-1). If Special triggers before or during combat, grants Special cooldown count-2 after combat.",400,Yes
,Dead-Wolf Blade,16,1,"Grants Spd+3.At start of turn, if unit's HP ≥ 25%, grants 【Foe Penalty Doubler】to unit and allies within 2 spaces of unit and inflicts Spd/Def-7 on closest foes and any foe within 2 spaces of those foes through their next actions.At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit, grants bonus to unit's Atk/Spd/Def/Res = 15% of unit's Spd at start of combat, reduces damage from foe's first attack by 40% (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and inflicts Special cooldown charge -1 on foe per attack during combat (only highest value applied; does not stack).【Foe Penalty Doubler】Inflicts penalty on foe's Atk/Spd/Def/Res during combat = any current penalty on each of those stats for 1 turn. Calculates each stat penalty independently.",400,Yes
,Defier's Sword,10,1,"At start of combat, if foe's HP ≥ 75%, grants Def+5 to unit and inflicts Def-5 on foe during combat, and also, if foe has bonuses, grants bonus to unit's Def and inflicts penalty on foe's Def during combat = current bonus on foe's Def. Calculates each stat bonus and penalty independently.",200,No
,Defier's Sword+,14,1,"At start of combat, if foe's HP ≥ 75%, grants Def+5 to unit and inflicts Def-5 on foe during combat, and also, if foe has bonuses, grants bonus to unit's Def and inflicts penalty on foe's Def during combat = current bonus on foe's Def. Calculates each stat bonus and penalty independently.",300,No
,Deliverer's Brand,16,1,"Grants Spd+3. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit, reduces damage from foe's first attack by 40%, and neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit during combat, and also, if unit's max Special cooldown count value ≥ 3 and unit's attack can trigger unit's Special, when unit's Special triggers (excluding area-of-effect Specials), neutralizes ""reduces damage by X%"" effects from non-Special skills. At start of combat, if unit's HP ≥ 25% and unit triggers the Glowing Ember, Bonfire, or Ignis Special during combat, calculates that attack's damage using the lower of foe's Def or Res.",400,Yes
,Divine Tyrfing,16,1,Grants Res+3. Reduces damage from magic foe's first attack by 50%.,400,Yes
,Doubler Sword,10,1,"At start of turn, if unit is within 2 spaces of an ally, grants Atk/Def+6 to unit and allies within 2 spaces of unit for 1 turn. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+X to unit during combat (X = 4 + highest bonus on each stat between unit and allies within 2 spaces of unit; calculates each stat bonus independently).",200,No
,Doubler Sword+,14,1,"At start of turn, if unit is within 2 spaces of an ally, grants Atk/Def+6 to unit and allies within 2 spaces of unit for 1 turn. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+X to unit during combat (X = 4 + highest bonus on each stat between unit and allies within 2 spaces of unit; calculates each stat bonus independently).",300,No
,Dracofalchion,16,1,"Effective against dragon foes. Grants Atk+3. If the number of foes within 2 spaces (excluding target) ≥ the number of allies within 2 spaces (excluding unit), grants Atk/Spd/Def/Res+5 during combat.",400,Yes
,Dragonbind,16,1,Effective against dragon foes. Unit can counterattack regardless of foe's range.,400,Yes
,Durandal,16,1,"If unit initiates combat, grants Atk+4 during combat.",400,Yes
,Eckesachs,16,1,"At start of turn, inflicts Def-4 on foes within 2 spaces through their next actions.",400,Yes
,Emblem Ragnell,16,1,"Accelerates Special trigger (cooldown count-1). Unit can counterattack regardless of foe's range. At start of combat, if unit's HP ≥ 25%, grants Atk+X to unit and inflicts Atk-X on foe (X = 25% of foe's Atk at start of combat - 2; max 16; min 6), neutralizes penalties on unit, neutralizes effects that prevent unit's counterattacks, and neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat.",400,Yes
,Exalted Falchion,16,1,Effective against dragon foes. Grants Spd+3.Grants bonus to Atk/Spd/Def/Res during combat = current bonus on each of unit's stats. Calculates each stat bonus independently.,400,Yes
,Fair-Fight Blade,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit, deals damage = 25% of unit's Def and reduces damage from foe's attacks by 25% of unit's Def (excluding area-of-effect Specials), neutralizes ""reduces damage by X%"" effects from unit's and foe's non-Special skills (excluding area-of-effect Specials), neutralizes effects that guarantee unit's and foe's follow-up attacks, and increases the Spd difference necessary for unit or foe to make a follow-up attack by 20 during combat (Spd must be ≥ 25 to make a follow-up attack; stacks with similar skills). At start of combat, if unit's HP ≥ 25% and unit initiates combat, grants Special cooldown count-1 to unit before unit's first attack during combat. At start of combat, if unit's HP ≥ 25% and foe initiates combat, neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat, and also, if unit deals damage to foe using a Special during combat, restores 10 HP to unit (triggers even if 0 damage is dealt).",400,Yes
,Falchion,16,1,"Effective against dragon foes. At the start of every third turn, restores 10 HP.",400,Yes
,Falchion,16,1,"Effective against dragons. At the start of every third turn, unit recovers 10 HP.",400,Yes
,Falchion,16,1,"Effective against dragon foes. At the start of every third turn, restores 10 HP.",400,Yes
,Farmer's Tool,10,1,"At start of turn, if unit is within 2 spaces of an ally, grants Atk/Def+6 to unit and allies within 2 spaces of unit for 1 turn. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+X to unit during combat (X = 4 + highest bonus on each stat between unit and allies within 2 spaces of unit; calculates each stat bonus independently).",200,No
,Farmer's Tool+,14,1,"At start of turn, if unit is within 2 spaces of an ally, grants Atk/Def+6 to unit and allies within 2 spaces of unit for 1 turn. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+X to unit during combat (X = 4 + highest bonus on each stat between unit and allies within 2 spaces of unit; calculates each stat bonus independently).",300,No
,Feather Sword,16,1,"Grants Atk+3. Effective against sword, lance, axe, colorless bow, and armored foes. If foe initiates combat and is armored or uses sword, lance, axe, or colorless bow, or if unit's HP ≤ 75%, unit can counterattack before foe's first attack.",400,Yes
,Fell Child's Blade,16,1,"Accelerates Special trigger (cooldown count-1).For foes within 3 rows or 3 columns centered on unit, inflicts Atk/Spd/Def/Res-5 and neutralizes foe's bonuses during combat.If foe initiates combat or if unit's HP ≥ 25% at start of combat, inflicts penalty on foe's Atk/Spd/Def/Res = number of distinct game titles among allies within 3 spaces of unit × 3, + 4 (max 10), reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% (excluding area-of-effect Specials), unit deals +X damage (excluding area-of-effect Specials), reduces damage from foe's attacks by X (excluding area-of-effect Specials), and reduces damage from foe's Specials by X during combat (excluding area-of-effect Specials; X = 20% of unit's Spd), and restores 7 HP to unit after combat.",400,Yes
,Fellowship Blade,16,1,"Accelerates Special trigger (cooldown count-1).At start of player phase or enemy phase, if unit is within 2 spaces of an ally, grants Def/Res+6,【Bulwark】, and【Null Panic】to unit and allies within 2 spaces of unit for 1 turn.If unit is within 3 spaces of an ally, inflicts penalty on foe's Atk/Def = 20% of unit's Def at start of combat + 6, unit deals +X damage (X = highest total bonuses among unit and allies within 2 spaces of unit; excluding area-of-effect Specials), reduces damage from foe's attacks by 50% of X (excluding area-of-effect Specials), and inflicts Special cooldown charge -1 on foe per attack during combat (only highest value applied; does not stack).【Bulwark】Foes with Range = 1 cannot move through spaces adjacent to unit (does not affect foes with Pass skills).Foes with Range = 2 cannot move through spaces within 2 spaces of unit (does not affect foes with Pass skills).【Null Panic】If unit is inflicted with Panic (bonuses converted into penalties), neutralizes the ""converts bonuses on target into penalties"" effect for 1 turn. (Even though the effect is neutralized, the Panic status remains, and is treated as a Penalty status.)",400,Yes
,Fiery War Sword,16,1,"Accelerates Special trigger (cooldown count-1). If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+X to unit during combat (X = number of【Bonus】effects active on unit, excluding stat bonuses × 3, + 5; max 17), neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks, and reduces damage from foe's first attack by 40% during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",400,Yes
,Firesweep S,11,1,Unit and foe cannot counterattack.,200,No
,Firesweep S+,15,1,Unit and foe cannot counterattack.,300,No
,Flame Gunbai,10,1,"At start of combat, if unit's HP ≥ 25%, grants Atk/Def+5 to unit and inflicts penalty on foe's Atk/Def during combat = 20% of unit's Def at start of combat.",200,No
,Flame Gunbai+,14,1,"At start of combat, if unit's HP ≥ 25%, grants Atk/Def+5 to unit and inflicts penalty on foe's Atk/Def during combat = 20% of unit's Def at start of combat.",300,No
,Florid Cane,10,1,"Enables【Canto (Rem. +1)】.At start of combat, if foe's HP ≥ 75%, grants Atk/Spd+5 to unit during combat.【Canto (Rem. +1)】After an attack, Assist skill, or structure destruction, unit can move again.The distance of the movement is the remaining movement the unit had before the actions listed above+1 (If unit used a movement skill that warps them, the remainder is 0).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",200,No
,Florid Cane+,14,1,"Enables【Canto (Rem. +1)】.At start of combat, if foe's HP ≥ 75%, grants Atk/Spd+5 to unit during combat.【Canto (Rem. +1)】After an attack, Assist skill, or structure destruction, unit can move again.The distance of the movement is the remaining movement the unit had before the actions listed above+1 (If unit used a movement skill that warps them, the remainder is 0).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",300,No
,Flower of Ease,16,1,"Grants Res+3. If【Penalty】is active on any foes within 3 columns centered on unit, inflicts Atk/Def/Res-3 on those foes during combat.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",400,Yes
,Flower of Tribute,16,1,"Accelerates Special trigger (cooldown count-1). For foes within 3 rows or 3 columns centered on unit, deals 5 damage to foe as their combat begins (effects that reduce damage during combat do not apply; will not reduce foe's HP below 1) and inflicts Spd/Def-5 on foe during their combat. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit and deals damage = 20% of unit's Spd during combat (excluding area-of-effect Specials).",400,Yes
,Fólkvangr,16,1,"At start of turn, if unit's HP ≤ 50%, grants Atk+5 for 1 turn.",400,Yes
,Freeblade's Edge,16,1,"If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Atk/Spd/Def/Res+4 to unit and inflicts Special cooldown charge -1 on foe per attack during combat (only highest value applied; does not stack), and reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by 30%.",400,Yes
,Frelian Blade,16,1,"Accelerates Special trigger (cooldown count-1). If foe initiates combat or if foe's HP ≥ 75% at start of combat, grants Atk/Spd/Def/Res+5 to unit, inflicts penalty on foe's Atk/Spd/Def = 15% of unit's Spd at start of combat, neutralizes effects that prevent unit's follow-up attacks, and reduces damage from foe's first attack by 40% during combat.",400,Yes
,Fujin Uchiwa,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+X to unit (X = 5 + the greater of unit's current bonus or foe's current bonus on each stat; calculates each stat bonus independently), inflicts penalty on foe's Atk/Spd/Def/Res = current bonus on each of foe's stats (calculates each stat penalty independently), reduces damage from foe's first attack by 40%, and grants Special cooldown charge +1 to unit per attack (only highest value applied; does not stack) during combat.",400,Yes
,Geishun,10,1,"At start of turn, inflicts Atk-7 on foe on the enemy team with the highest Atk through its next action.",200,No
,Geishun+,14,1,"At start of turn, inflicts Atk-7 on foe on the enemy team with the highest Atk through its next action.",300,No
,Genesis Falchion,16,1,"Accelerates Special trigger (cooldown count-1). Effective against dragon foes. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 during combat, and also grants effects based on the total value of bonuses on the 3 allies with the highest bonus totals: If ≥ 10, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat. If ≥ 25, grants an additional Atk+5 during combat, and also, if unit deals damage to foe during combat, restores 5 HP to unit. (Triggers even if 0 damage is dealt.) If ≥ 60, if foe initiates combat, unit can counterattack before foe's first attack.",400,Yes
,Gjöll,16,1,"Grants Atk+3. If a penalty inflicted by a skill like Panic or Threaten and/or a negative status effect (preventing counterattacks or restricting movement) is active on foe, unit makes a guaranteed follow-up attack and foe cannot.",400,Yes
,Gladiator's Blade,16,1,"If unit’s Atk > foe’s Atk, grants Special cooldown charge +1 per unit's attack. (Only highest value applied. Does not stack.)",400,Yes
,Golden Dagger,16,1,Accelerates Special trigger (cooldown count-1).,400,Yes
,Guard Sword,10,1,Inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.),200,No
,Guard Sword+,14,1,Inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.),300,No
