Sprite,Weapon,Might,Range,Description,SP,Exclusive
,Black Yule Lance,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25% and unit initiates combat, applies【Divine Vein (Flame)】on 5 spaces in a line centered on foe's space and on the 5 spaces behind those spaces (based on direction unit is facing) for 1 turn after combat. At start of combat, if unit's HP ≥ 25%, inflicts Atk/Def-X on foe (X = 15 - number of adjacent allies × 2; min 6), grants Special cooldown count-Y to unit before unit's first attack (Y = number of spaces from start position to end position of whoever initiated combat, max 3; if foe is in a space where allied 【Divine Vein (Flame)】is applied, then the value is treated as 3), and reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by percentage = 100 - number of allies adjacent to unit × 30 during combat, and also, if unit has weapon-triangle advantage or if foe is in a space where allied【Divine Vein (Flame)】is applied, neutralizes foe's non-Special ""if foe would reduce unit's HP to 0, unit survives with 1 HP"" effects during combat.【Divine Vein (Flame)】Applies the following effects on space: Acts as difficult terrain for foes with Range = 2 (moving over this space costs +1 movement; does not apply to ""cannot be slowed by terrain"" effects; movement cost cannot exceed unit's allowed movement). At start of enemy phase, deals 7 damage to foe, and also, as combat begins, deals an additional 7 damage to foe (effects that reduce damage ""during combat"" do not apply; will not reduce foe's HP below 1). (Divine Vein effects do not stack; replaces any existing Divine Vein effect; Divine Vein effects applied simultaneously cancel each other out.)",400,Yes
,Brave Lance,5,1,"Inflicts Spd-5. If unit initiates combat, unit attacks twice.",200,No
,Brave Lance+,8,1,"Inflicts Spd-5. If unit initiates combat, unit attacks twice.",300,No
,Breaker Lance,16,1,"Grants Atk+3. At start of turn, inflicts Atk/Def-6 and【Panic】on foe on the enemy team with the highest Atk+Def total and foes within 2 spaces of that foe through their next actions. At start of combat, if unit's HP ≥ 25%, inflicts Atk/Def-6 on foe during combat and unit makes a guaranteed follow-up attack.【Panic】Converts bonuses on target into penalties through its next action.",400,Yes
,Breezy Spear,16,1,"Grants Atk+3. Unit can counterattack regardless of foe's range. Unit and target cannot trigger Specials during combat or area-of-effect Specials (excluding Røkkr area-of-effect Specials).Grants Atk/Spd/Def/Res+5 to unit, grants bonus to unit's Atk/Spd/Def/Res = 15% of unit's Spd at start of combat, and deals damage = 20% of unit's Spd during combat (excluding area-of-effect Specials), and restores 7 HP to unit after combat.Disables skills of all other foes and allies during combat, excluding unit and target. Disables the following effects for both unit and target during combat: defensive terrain effects, support effects, guaranteed follow-ups, effects that prevent follow-ups, effects that prevent counterattacks, and effects that change attack priority (Vantage, Desperation, etc.).",400,Yes
,Bridal Sunflower,10,1,"At start of combat, if unit's HP ≥ 25%, grants Atk/Def+5 and bonus to Atk/Def during combat = current bonus on unit's Atk/Def. Calculates each stat bonus independently.",200,No
,Bridal Sunflower+,14,1,"At start of combat, if unit's HP ≥ 25%, grants Atk/Def+5 and bonus to Atk/Def during combat = current bonus on unit's Atk/Def. Calculates each stat bonus independently.",300,No
,Bright Naginata,16,1,"If foe initiates combat, grants Atk/Def+4 during combat.",400,Yes
,Brilliant Brident,16,1,"Accelerates Special trigger (cooldown count-1).At start of turn, if unit's HP ≥ 25%, inflicts Spd/Def-7,【Exposure】, and【Discord】on closest foes and any foes within 2 spaces of those foes through their next actions.At start of combat, if unit's HP ≥ 25%, grants bonus to unit's Atk/Spd/Def/Res = number of foes within 3 rows or 3 columns centered on unit × 3, + 5 (max 14), deals damage = 20% of unit's Spd (excluding area-of-effect Specials), reduces damage from foe's first attack by 20% of unit's Spd (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and reduces damage from foe's Specials by 20% of unit's Spd during combat (excluding area-of-effect Specials), and also, if 【Potent Follow X%】has triggered and X ≤ 99, then X = 100.【Exposure】Foe's attacks deal +10 damage.【Discord】Inflicts Atk/Spd/Def/Res-X on unit during combat (X = 2 + number of allies within 2 spaces of unit; max 5) through its next action.【Potent Follow X%】Triggers an additional follow-up attack immediately after unit's standard follow-up attack and deals damage = X% of unit's normal attack damage (if unit cannot make a follow-up attack, this effect triggers when the standard follow-up attack would occur; this effect is treated like a follow-up attack, so effects like ""reduce damage by X%"" still apply, but this effect is not affected by effects that prevent follow-ups or ""attacks twice"" effects; only highest value applied; does not stack).",400,Yes
,Bull Spear,16,1,"If unit has weapon-triangle advantage, boosts Atk by 20%. If unit has weapon-triangle disadvantage, reduces Atk by 20%.",400,Yes
,Campaign Lance,10,1,"At start of combat, if unit's HP ≥ 25%, grants Atk/Def+5 to unit during combat, inflicts Atk/Def-X on foe during combat (X = 25% of unit's HP at start of combat; max 10), and restores 10 HP to unit after combat.",200,No
,Campaign Lance+,14,1,"At start of combat, if unit's HP ≥ 25%, grants Atk/Def+5 to unit during combat, inflicts Atk/Def-X on foe during combat (X = 25% of unit's HP at start of combat; max 10), and restores 10 HP to unit after combat.",300,No
,Candy Cane,10,1,"If unit is within 2 spaces of an ally, grants Atk/Def+5 to unit during combat and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",200,No
,Candy Cane+,14,1,"If unit is within 2 spaces of an ally, grants Atk/Def+5 to unit during combat and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",300,No
,Carrot Lance,9,1,"If unit initiates combat, restores 4 HP after combat.",200,No
,Carrot Lance+,13,1,"If unit initiates combat, restores 4 HP after combat.",300,No
,Carrot-Tip Spear,10,1,"At start of combat, if foe's HP ≥ 75% or 【Penalty】is active on foe, grants Atk/Def+5 to unit during combat and unit's first attack during combat deals damage = total Atk/Def penalties on foe.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",200,No
,Carrot-Tip Spear+,14,1,"At start of combat, if foe's HP ≥ 75% or 【Penalty】is active on foe, grants Atk/Def+5 to unit during combat and unit's first attack during combat deals damage = total Atk/Def penalties on foe.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",300,No
,Casa Blanca,10,1,"If foe uses bow, dagger, magic, or staff, neutralizes foe's bonuses (from skills like Fortify, Rally, etc.) during combat.",200,No
,Casa Blanca+,14,1,"If foe uses bow, dagger, magic, or staff, neutralizes foe's bonuses (from skills like Fortify, Rally, etc.) during combat.",300,No
,Chon'sin Sprig,16,1,"Accelerates Special trigger (cooldown count-1). If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit, inflicts penalty on foe's Spd/Def = 25% of foe's Atk at start of combat - 8 (max 10, min 0), reduces damage from foe's first attack by 40%, and grants Special cooldown charge +1 to unit per attack during combat. (Only highest value applied; does not stack.)",400,Yes
,Command Lance,16,1,"If unit is within 3 spaces of an ally, grants Atk/Spd/Def/Res+4 to unit during combat and reduces damage from foe's first attack by 40%.",400,Yes
,Cordelia's Lance,10,1,"Inflicts Spd-2. If unit initiates combat, unit attacks twice.",400,Yes
,Courtly Candle,10,1,"At start of combat, if unit's HP ≥ 50%, grants Atk/Def+5 during combat, and also, if foe can make a follow-up attack, reduces damage from foe's first attack by 50%.",200,No
,Courtly Candle+,14,1,"At start of combat, if unit's HP ≥ 50%, grants Atk/Def+5 during combat, and also, if foe can make a follow-up attack, reduces damage from foe's first attack by 50%.",300,No
,Coyote's Lance,16,1,"Accelerates Special trigger (cooldown count-1). At start of turn, if unit is within 3 spaces of an ally, grants Atk/Spd+6 and the following effect to unit and cavalry allies within 3 spaces of unit for 1 turn: ""If unit initiates combat, unit makes a guaranteed follow-up attack."" If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd+6 to unit during combat, reduces damage from foe's first attack by 40%, and deals damage = number of spaces from start position to end position of whoever initiated combat × 3 (max: 9). (Except when dealing damage with area-of-effect Specials.)",400,Yes
,Crimson Lance,16,1,"If unit's HP ≥ 25% at start of combat, grants Atk/Spd/Def/Res+5 to unit, reduces damage from foe's first attack by 20% of unit's Def (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and foe cannot make a follow-up attack during combat, and also, if unit's Def > foe's Def, increases the Spd difference necessary for foe to make a follow-up attack by difference between stats × 2 during combat (for example, if Spd difference necessary increases by 10, Spd must be ≥ 15 more than foe's Spd to make a follow-up attack; stacks with similar skills).If unit's HP ≥ 25% at start of combat, restores 7 HP to unit after combat.",400,Yes
,Cursed Lance,16,1,Accelerates Special trigger (cooldown count-1). Grants Atk/Spd+2. Deals 4 damage to unit after combat.,400,Yes
,Dark Royal Spear,16,1,"If foe initiates combat or if foe's HP = 100% at start of combat, grants Atk/Def/Res+5 to unit during combat.",400,Yes
,Dauntless Lance,16,1,Accelerates Special trigger (cooldown count-1). Effective against armored foes.,400,Yes
,Daybreak Lance,16,1,Accelerates Special trigger (cooldown count-1).,400,Yes
,Defier's Lance,10,1,"At start of combat, if foe's HP ≥ 75%, grants Def+5 to unit and inflicts Def-5 on foe during combat, and also, if foe has bonuses, grants bonus to unit's Def and inflicts penalty on foe's Def during combat = current bonus on foe's Def. Calculates each stat bonus and penalty independently.",200,No
,Defier's Lance+,14,1,"At start of combat, if foe's HP ≥ 75%, grants Def+5 to unit and inflicts Def-5 on foe during combat, and also, if foe has bonuses, grants bonus to unit's Def and inflicts penalty on foe's Def during combat = current bonus on foe's Def. Calculates each stat bonus and penalty independently.",300,No
,Deft Harpoon,10,1,"At start of combat, if unit's HP = 100%, grants Atk/Spd/Def/Res+2, but after combat, if unit attacked, deals 2 damage to unit.",200,No
,Deft Harpoon+,14,1,"At start of combat, if unit's HP = 100%, grants Atk/Spd/Def/Res+2, but after combat, if unit attacked, deals 2 damage to unit.",300,No
,Desert Spear,16,1,"Accelerates Special trigger (cooldown count-1). Unit can counterattack regardless of foe's range.Foes with Range = 1 cannot move through spaces adjacent to unit (does not affect foes with Pass skills). Foes with Range = 2 cannot move through spaces within 2 spaces of unit (does not affect foes with Pass skills).For allies within 3 spaces of unit, grants Spd/Def+4 during combat, and also, when foe's attack triggers foe's Special, reduces damage from foe's attacks by 10 during that ally's combat (excluding area-of-effect Specials).If unit is within 3 spaces of an ally, grants bonus to unit's Atk/Spd/Def/Res = 5 + 15% of unit's Def at start of combat, and neutralizes foe's bonuses (from skills like Fortify, Rally, etc.) during combat, and also, when foe's attack triggers foe's Special, reduces damage from foe's attacks by 10 during combat (excluding area-of-effect Specials).",400,Yes
,Diva-Pair Parasol,16,1,"Accelerates Special trigger (cooldown count-1).For foes within 3 rows or 3 columns centered on unit, if foe's Def ≤ unit's Def+5, inflicts penalty on foe's Atk/Spd = 15% of foe's Atk at start of combat and neutralizes foe's bonuses to Atk/Spd (from skills like Fortify, Rally, etc.) during combat.At start of combat, if unit's HP ≥ 25%, grants bonus to unit's Atk/Spd/Def/Res = number of allies within 3 spaces of unit × 3, + 5 (max 14), unit deals damage = 15% of unit's Atk (excluding area-of-effect Specials), and inflicts Special cooldown charge -1 on foe per attack during combat (only highest value applied; does not stack), and restores 7 HP to unit after combat.",400,Yes
,Divine Sea Spear,16,1,"Grants Atk+3. If unit initiates combat or if foe's HP ≥ 75% at start of combat, grants Atk/Spd/Def+3 to unit during combat and inflicts Atk/Spd/Def-3 on foe during combat, and also, if foe has Atk/Spd/Def bonuses, grants bonus to unit's Atk/Spd/Def and inflicts penalty on foe's Atk/Spd/Def during combat = current bonus on each of foe's Atk/Spd/Def. Calculates each stat bonus independently.",400,Yes
,Doubler Lance,10,1,"At start of turn, if unit is within 2 spaces of an ally, grants Atk/Def+6 to unit and allies within 2 spaces of unit for 1 turn. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+X to unit during combat (X = 4 + highest bonus on each stat between unit and allies within 2 spaces of unit; calculates each stat bonus independently).",200,No
,Doubler Lance+,14,1,"At start of turn, if unit is within 2 spaces of an ally, grants Atk/Def+6 to unit and allies within 2 spaces of unit for 1 turn. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+X to unit during combat (X = 4 + highest bonus on each stat between unit and allies within 2 spaces of unit; calculates each stat bonus independently).",300,No
,Dreaming Spear,16,1,"Accelerates Special trigger (cooldown count-1). Grants Atk/Spd/Def/Res+5. If unit is on a team with two allies in a support-partner pair (excluding unit), unit makes a guaranteed follow-up attack, inflicts Special cooldown charge -1 on foe per attack (only highest value applied; does not stack), deals damage = 20% of unit's Res, and reduces damage from foe's attacks by 20% of unit's Res during combat (excluding area-of-effect Specials).",400,Yes
,Dryblade Lance,16,1,"Accelerates Special trigger (cooldown count-1). At the start of turn 1, grants Special cooldown count-2 to unit. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+6 to unit during combat and deals damage = X% of unit's Spd when Special triggers (X = unit's max Special cooldown count value × 10, + 20).",400,Yes
,Dvergr Wayfinder,16,1,"Accelerates Special trigger (cooldown count-1).Enables【Canto (Dist. +2; Max ５)】 during turns 1 through 4.During turns 1 through 4, for allies within 3 rows or 3 columns centered on unit, grants Atk/Spd+4, and also, if ally's attack can trigger ally's Special, grants Special cooldown count-1 to ally before their first attack during their combat.At start of combat, if unit's HP ≥ 25%, grants bonus to unit's Atk/Spd/Def/Res = 5 + number of allies within 3 rows or 3 columns centered on unit × 3 (max 14), deals damage = 20% of unit's Spd (excluding area-of-effect Specials), and reduces damage from foe's first attack by 40% during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and also, when Special triggers, neutralizes foe's ""reduces damage by X%"" effects from foe's non-Special skills (excluding when dealing damage with an area-of-effect Special).【Canto (Dist. +2; Max ５)】After an attack, Assist skill, or structure destruction, unit can move spaces = number of spaces from start position to end position of unit before the above, +2. (Max ５.)(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",400,Yes
,Earthly Gáe Bolg,16,1,"Grants Def+3. In combat against an infantry, armored, or cavalry foe, inflicts Atk/Def-5 on foe and neutralizes foe's bonuses to Atk/Def (from skills like Fortify, Rally, etc.) during combat.",400,Yes
,Effie's Lance,16,1,"At start of combat, if unit's HP ≥ 50%, grants Atk+6 during combat.",400,Yes
,Fensalir,16,1,"At start of turn, inflicts Atk-4 on foes within 2 spaces through their next actions.",400,Yes
,Festive Siegmund,16,1,"Accelerates Special trigger (cooldown count-1). If unit is not adjacent to an ally, grants Atk/Spd/Def/Res+4 during combat.",400,Yes
,Firelight Lance,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit during combat, deals damage = 15% of foe's Atk, and also, if unit's Spd ≥ foe's Spd-4, inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.) At start of combat, if unit's HP ≥ 25%, grants Special cooldown count-1 to unit and allies within 4 spaces of unit after combat.",400,Yes
,Firesweep L+,15,1,Unit and foe cannot counterattack.,300,No
,Firesweep Lance,11,1,Unit and foe cannot counterattack.,200,No
,First Bite,10,1,"If unit initiates combat, grants Def/Res+2 to allies within 2 spaces for 1 turn after combat.",200,No
,First Bite+,14,1,"If unit initiates combat, grants Def/Res+2 to allies within 2 spaces for 1 turn after combat.",300,No
,Flame Lance,16,1,"Effective against beast foes. Grants Spd+3. At start of combat, if unit's HP ≥ 50%, calculates damage using foe's Res, and inflicts Spd/Res-5 on foe during combat.",400,Yes
,Flame Siegmund,16,1,"Grants Atk+3. If the number of foes within 2 spaces (excluding target) ≥ the number of allies within 2 spaces (excluding unit), unit makes a guaranteed follow-up attack.",400,Yes
,Flashing Carrot,10,1,"At start of combat, if foe's HP = 100%, grants Atk/Spd/Def/Res+2 during combat.",200,No
,Flashing Carrot+,14,1,"At start of combat, if foe's HP = 100%, grants Atk/Spd/Def/Res+2 during combat.",300,No
,Flingster Spear,16,1,"Accelerates Special trigger (cooldown count-1). If a Rally Assist skill is used by unit, grants ""Special cooldown charge +1 per attack during combat (only highest value applied; does not stack)"" to unit for 1 turn and restores 7 HP to unit, and afterward, once per turn, grants unit another action. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit, neutralizes effects that prevent unit's follow-up attacks, and reduces damage from foe's first attack by 40% during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and also, if ""Special cooldown charge +1 per attack during combat (only highest value applied; does not stack)"" is active on unit, neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat and unit attacks twice.",400,Yes
,Florina's Lance,16,1,Effective against armored foes.,400,Yes
,Flower Lance,16,1,"At start of combat, if foe's HP ≥ 75%, grants Atk/Spd/Def/Res+4 to unit during combat.",400,Yes
,Flowing Lance,10,1,"If unit is not adjacent to an ally, inflicts Atk/Def-5 on foe and neutralizes foe's bonuses to Atk/Def (from skills like Fortify, Rally, etc.) during combat.",200,No
,Flowing Lance+,14,1,"If unit is not adjacent to an ally, inflicts Atk/Def-5 on foe and neutralizes foe's bonuses to Atk/Def (from skills like Fortify, Rally, etc.) during combat.",300,No
,Forager Naginata,16,1,"Accelerates Special trigger (cooldown count-1). At start of turn, if unit's HP ≥ 25%, grants Def/Res+6 and ""Special cooldown charge +1 per attack during combat (only highest value applied; does not stack)"" to unit and allies within 3 spaces of unit for 1 turn. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit, grants an additional Atk/Spd/Def/Res+X to unit (X = number of allies within 3 spaces of unit × 3, + 1; max 10; if any space within 2 spaces of unit has a Divine Vein effect applied or counts as difficult terrain, excluding impassable terrain, value is treated as 10), and reduces damage from foe's first attack by X during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and also, when unit deals damage to foe during combat, restores X HP to unit (triggers even if 0 damage is dealt).",400,Yes
,Frelian Lance,16,1,"Accelerates Special trigger (cooldown count-1). At start of turn, grants ""neutralizes 'effective against flying' bonuses"" to flying allies within 2 spaces of unit for 1 turn. If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Atk+6 to unit, inflicts Atk-6 on foe, inflicts penalty on foe's Atk/Def = 20% of unit's Def at start of combat, and reduces damage from foe's first attack by 40% during combat.",400,Yes
,Gáe Bolg,16,1,"In combat against an infantry, armored, or cavalry foe, grants Atk/Def+5 during combat.",400,Yes
,Geirdriful,16,1,"Accelerates Special trigger (cooldown count-1).Effective against armored foes.If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+X to unit during combat (X = number of【Bonus】and【Penalty】 effects active on unit × 2, + 5; excludes stat bonuses and stat penalties), reduces damage from foe's first attack during combat by 40%, and also, if【Bonus】is active on unit, grants Special cooldown charge +1 per attack during combat. (Only highest value applied. Does not stack.)【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",400,Yes
,Geirskögul,16,1,"Grants Def+3. If allies within 2 spaces use sword, lance, axe, bow, dagger, or beast damage, grants Atk/Spd+3 to those allies during combat.",400,Yes
,Gilt Fork,10,1,"If unit is within 2 spaces of an ally, grants Atk/Def+5 to unit and neutralizes unit's penalties to Atk/Def during combat.",200,No
,Gilt Fork+,14,1,"If unit is within 2 spaces of an ally, grants Atk/Def+5 to unit and neutralizes unit's penalties to Atk/Def during combat.",300,No
,Golden Naginata,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if foe's Atk ≥ unit's Atk+3, grants Atk/Spd/Def/Res+3 during combat.",400,Yes
,Gradivus,16,1,Unit can counterattack regardless of foe's range.,400,Yes
,Guard Lance,10,1,Inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.),200,No
,Guard Lance+,14,1,Inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.),300,No
,Guarding Lance,16,1,"Accelerates Special trigger (cooldown count-1). If a Rally or movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, grants Atk/Spd/Def+6, 【Bonus Doubler】, and【Foe Penalty Doubler】to unit and target ally or unit and targeting ally for 1 turn. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks, and reduces damage from foe's first attack by 40% during combat.【Bonus Doubler】Grants bonus to Atk/Spd/Def/Res during combat = current bonus on each of unit's stats for 1 turn. Calculates each stat bonus independently.【Foe Penalty Doubler】Inflicts penalty on foe's Atk/Spd/Def/Res during combat = any current penalty on each of those stats for 1 turn. Calculates each stat penalty independently.",400,Yes
,Hare's Lance,10,1,"At start of combat, if unit's HP ≥ 25%, grants Atk/Def+5 during combat and reduces damage from foe's first attack by 40%.",200,No
,Hare's Lance+,14,1,"At start of combat, if unit's HP ≥ 25%, grants Atk/Def+5 during combat and reduces damage from foe's first attack by 40%.",300,No
,Harmonic Lance,9,1,Deals +10 damage when Special triggers.,200,No
,Harmonic Lance+,13,1,Deals +10 damage when Special triggers.,300,No
,Heartbeat Lance,16,1,"At start of combat, if unit's HP ≥ 25%, inflicts Atk/Def-5 on foe during combat and foe cannot make a follow-up attack.",400,Yes
,Heavenly Icicle,16,1,"Inflicts Spd/Def-5 on foes within 3 rows or 3 columns centered on unit, those foes cannot make a follow-up attack, and those foes suffer guaranteed follow-up attacks during combat.At start of combat, if unit's HP ≥ 25%, inflicts Atk-5 on foe and reduces damage from foe's first attack by 40% during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes).",400,Yes
,Heavy Spear,8,1,Effective against armored foes.,200,No
,Heavy Spear+,12,1,Effective against armored foes.,300,No
,Heired Gungnir,16,1,"Neutralizes ""effective against flying"" bonuses. Grants Def+3. At start of turn, if unit's HP ≥ 25%, grants Atk/Def+6 and【Charge】 to unit and flying allies within 2 spaces of unit for 1 turn. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit, unit makes a guaranteed follow-up attack, and deals damage = 15% of unit's Def (excluding area-of-effect Specials) during combat.【Charge】Unit can move up to 3 spaces in any cardinal direction. (Cannot move through foes, terrain that blocks movement, or effects of skills like Obstruct. Granted movement treated as Warp movement.)",400,Yes
,Hewn Lance,11,1,"Inflicts Spd-5. If unit initiates combat, unit attacks twice.",400,Yes
,Hinoka's Spear,16,1,"If unit is within 2 spaces of a flying or infantry ally, grants Atk/Spd+4 during combat.",400,Yes
,Holy Gradivus,16,1,"Unit can counterattack regardless of foe's range. At start of combat, if unit's HP ≥ 25%, unit makes a guaranteed follow-up attack.",400,Yes
,Holy-War Spear,16,1,"Enables【Canto (３)】.Accelerates Special trigger (cooldown count-1).At the start of turn, grants【Gallop】to unit.If unit initiates combat or is within 2 spaces of an ally, grants bonus to unit's Atk/Spd/Def/Res = 5 + number of foes within 3 rows or 3 columns centered on unit × 3 (max 14), deals damage = 20% of unit's Def (including when dealing damage with a Special triggered before combat), and reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% during combat (excluding area-of-effect Specials), and restores 7 HP to unit after combat.【Canto (３)】After an attack, Assist skill, or structure destruction, unit can move ３ space(s).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)【Gallop】Unit can move 2 extra spaces (that turn only; only highest value applied; does not stack).",400,Yes
,Hotshot Lance,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants bonus to Atk/Spd/Def/Res during combat based on the number of times unit has been enhanced using Dragonflowers. (Five or more times grants +7, four times grants +6, three times grants +5, and two or fewer times grants +4.)At start of combat, if unit's HP ≥ 25% and the unit has been enhanced using Dragonflowers three or more times, neutralizes foe's bonuses (from skills like Fortify, Rally, etc.) during combat.",400,Yes
