Sprite,Weapon,Might,Range,Description,SP,Exclusive
,Körmt,14,2,"Grants Atk+3. At start of combat, if unit's HP ≥ 25%, grants Atk+6 to unit during combat, inflicts Atk-6 on foe during combat, unit makes a guaranteed follow-up attack, and inflicts penalty on foe's Atk/Spd/Def/Res during combat based on the number of the following conditions that apply × 3 (max: 9):- An ally is within 3 spaces of unit.- Another foe is within 2 spaces of target.- A【Bonus】is active on unit.- A【Penalty】is active on foe.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",400,Yes
,Light of Dawn,14,2,Effective against armored and cavalry foes. Grants Res+3. Grants bonus to Atk/Spd/Def/Res during combat = current penalty on each of target's stats. Calculates each stat bonus independently.,400,Yes
,Madness Flask,8,2,"Grants Atk/Spd/Def/Res+3. After combat, deals 6 damage to unit.",200,No
,Madness Flask+,12,2,"Grants Atk/Spd/Def/Res+3. After combat, deals 6 damage to unit.",300,No
,Magic Rabbits,14,2,"Accelerates Special trigger (cooldown count-1). At the start of turn 1, grants Special cooldown count-2. Unit can move to a space within 2 spaces of any ally within 2 spaces. If unit initiates combat or is within 2 spaces of an ally, grants Atk+4, Spd+6, and bonus to unit's Atk = unit's max Special cooldown count value × 3 during combat.",400,Yes
,Master's Tactics,14,2,"Accelerates Special trigger (cooldown count-1). At start of turn, if unit's HP ≥ 25%, grants 【Grand Strategy】to unit and allies within 2 spaces for 1 turn, inflicts Atk/Spd/Def/Res-4 on unit through its next action, and inflicts -6 on the highest and second highest stat values between Atk, Spd, Def, and Res for each ally within 2 spaces through their next actions (subtract 15 from Atk when comparing). At start of turn, if unit's HP ≥ 25%, inflicts Atk/Spd/Def/Res-3 on closest foes and foes within 3 spaces of those foes through their next actions. At start of combat, if unit's HP ≥ 25%, inflicts Atk/Spd/Res-5 on foe during combat and foe cannot make a follow-up attack.【Grand Strategy】Grants bonus to Atk/Spd/Def/Res during combat = current penalty on each of unit's stats × 2 for 1 turn. (Example: if unit has -7 penalty to Atk, grants Atk+14, for a net bonus of Atk+7.) Calculates each stat bonus independently.Unit's negative effects that last ""through unit's next action"" will remain in effect until this status (Grand Strategy) is neutralized.",400,Yes
,Melon Float,8,2,"During unit's first combat in player phase or enemy phase, grants Atk/Res+5 to unit and restores 7 HP to unit after combat.",200,No
,Melon Float+,12,2,"During unit's first combat in player phase or enemy phase, grants Atk/Res+5 to unit and restores 7 HP to unit after combat.",300,No
,Morph Fimbulvetr,14,2,"Grants Atk+3. If unit is within 3 spaces of an ally, inflicts Atk/Res-8 on foe during combat, foe cannot make a follow-up attack, and grants bonus to unit's Atk during combat = total Atk+Res bonuses on ally with the highest total Atk+Res bonuses within 3 spaces. If unit is within 3 spaces of an ally, after combat, if unit attacked, deals 15 damage to nearest ally.",400,Yes
,Muninn's Egg,14,2,"Grants Res+3. At start of turn, if unit's HP ≥ 50%, inflicts Atk/Res-5 on foe on the enemy team with the lowest Spd through its next action.",400,Yes
,Naga,14,2,"Effective against dragon foes. If foe initiates combat, grants Def/Res+2 during combat.",400,Yes
,Nifl Frostflowers,14,2,"Grants Atk+3. During combat, boosts unit's Atk/Spd by number of allies within 2 spaces × 2.(Maximum bonus of +6 to each stat.)",400,Yes
,Ninjutsu Scrolls,9,2,"Grants Spd+4. Inflicts Def/Res-4. If unit initiates combat, unit attacks twice, and also, if unit's Spd > foe's Spd, deals damage = 70% of difference between stats. (Maximum bonus of +7 damage.)",400,Yes
,Nova,9,2,"Enables【Canto (Ally 5)】. Grants Atk+3.If unit initiates combat, unit attacks twice.For each foe within 5 spaces of unit, unit can move to any of the nearest spaces that are two spaces away from that foe (unless space is impassable terrain).At start of turn, inflicts Atk/Res-7 and 【Sabotage】on closest foes and any foes within 2 spaces of those foes through their next actions.If either unit or foe has an active【Bonus】 or【Penalty】effect, grants bonus to unit's Atk/Res during combat = 20% of unit's Res at start of combat + 6.【Canto (Ally 5)】After an attack, Assist skill, or structure destruction, unit can move to a space adjacent to any ally within 5 spaces.(Once per turn. Cannot attack or assist. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Granted movement treated as Warp movement.)【Sabotage】Inflicts penalty on unit's Atk/Spd/Def/Res during combat = highest penalty on each stat between unit and allies within 2 spaces of unit through its next action. Calculates each stat penalty independently.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",400,Yes
,Obsessive Curse,14,2,Effective against cavalry foes. Inflicts Spd/Res-5 on foes within 2 spaces during combat.,400,Yes
,Peppy Cane,8,2,"At start of combat, if unit's HP ≥ 25%, inflicts Atk/Res-5 on foe during combat and foe cannot make a follow-up attack.",200,No
,Peppy Cane+,12,2,"At start of combat, if unit's HP ≥ 25%, inflicts Atk/Res-5 on foe during combat and foe cannot make a follow-up attack.",300,No
,Plegian Torch,8,2,"If unit is not adjacent to an ally, inflicts penalty on foe's Atk/Res during combat = 5 + any current penalty on each of those stats. (Example: if foe has -7 penalty to Atk, inflicts Atk-12, for a net penalty of Atk-19 during combat.) Calculates each stat penalty independently.",200,No
,Plegian Torch+,12,2,"If unit is not adjacent to an ally, inflicts penalty on foe's Atk/Res during combat = 5 + any current penalty on each of those stats. (Example: if foe has -7 penalty to Atk, inflicts Atk-12, for a net penalty of Atk-19 during combat.) Calculates each stat penalty independently.",300,No
,Prior's Tome,14,2,"Accelerates Special trigger (cooldown count-1).If unit is within 2 spaces of a trap in Aether Raids, allies on the map can move to a space within 2 spaces of unit (""trap in Aether Raids"" includes any trap—triggered, disarmed, false, or otherwise).Allies within 2 spaces of unit can move to any space within 2 spaces of unit.For allies within 2 spaces of unit, grants Atk/Res+5 and neutralizes penalties to Atk/Res during their combat, and restores 7 HP after combat.If unit is within 3 spaces of an ally, grants bonus to unit's Atk/Res = 20% of unit's Res at start of combat + 6, neutralizes unit's penalties to Atk/Res, deals damage = 20% of unit's Res (excluding area-of-effect Specials), and unit makes a guaranteed follow-up attack during combat, and restores 7 HP to unit after combat.",400,Yes
,Professorial Text,14,2,"Accelerates Special trigger (cooldown count-1). If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 during combat, and also, if unit's Spd > foe's Spd during combat, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks.Allies within 2 spaces gain: ""If unit's Spd > foe's Spd during combat, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks.""",400,Yes
,Rexcalibur,9,2,,200,No
,Rexcalibur+,13,2,,300,No
,Saintly Seraphim,14,2,"Grants Spd+3. If unit initiates combat, deals damage = 25% of foe's Res. (Ignores reductions to Res from Special skills.)",400,Yes
,Sandwiches!,8,2,"If foe initiates combat, grants Atk/Res+4 during combat.",200,No
,Sandwiches!+,12,2,"If foe initiates combat, grants Atk/Res+4 during combat.",300,No
,Seiðr,14,2,"Accelerates Special trigger (cooldown count-1). At start of turn, if unit is within 2 spaces of an ally, grants the following effect to unit and allies within 2 spaces of unit for 1 turn: ""Foe cannot make a follow-up attack."" If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit during combat, unit makes a guaranteed follow-up attack, and unit deals damage = 20% of unit's Res (including when dealing damage with a Special triggered before combat).",400,Yes
,Silver of Dawn,14,2,"Effective against armored and cavalry foes.Accelerates Special trigger (cooldown count-1).Allies within 2 spaces of unit can move to any space within 2 spaces of unit.At start of enemy phase, restores 10 HP to unit and allies within 2 spaces of unit.After start-of-turn effects trigger on enemy phase, converts penalties on unit and allies within 2 spaces of unit into bonuses, and also, neutralizes two【Penalty】effects on unit, excluding stat penalties (does not apply to Penalty effects that are applied at the same time; neutralizes the first applicable Penalty effects on unit's list of active effects).At start of combat, if unit's HP ≥ 25%, inflicts Atk/Res-6 on foe, inflicts penalty on foe's Atk/Res during combat = 20% of unit's Res at start of combat, neutralizes foe's bonuses to Atk/Res (from skills like Fortify, Rally, etc.), and unit deals +X damage during combat (X = number of allies within 3 rows or 3 columns centered on unit × 5; max 15; excluding area-of-effect Specials).【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",400,Yes
,Snow Globe,8,2,"If unit is within 2 spaces of an ally, grants Atk/Res+5 and bonus to Atk/Res during combat = current penalty on each of those stats × 2. (Example: if unit has -7 penalty to Atk, grants Atk+19, for a net bonus of Atk+12.) Calculates each stat bonus independently.",200,No
,Snow Globe+,12,2,"If unit is within 2 spaces of an ally, grants Atk/Res+5 and bonus to Atk/Res during combat = current penalty on each of those stats × 2. (Example: if unit has -7 penalty to Atk, grants Atk+19, for a net bonus of Atk+12.) Calculates each stat bonus independently.",300,No
,Spectral Tome,8,2,"After combat, if unit attacked, converts bonuses on foes within 2 spaces of target into penalties through their next actions.",200,No
,Spectral Tome+,12,2,"After combat, if unit attacked, converts bonuses on foes within 2 spaces of target into penalties through their next actions.",300,No
,Spring-Air Egg,8,2,"Inflicts Atk/Spd/Def/Res-5 on foes within 3 rows or 3 columns centered on unit and neutralizes effects that grant ""Special cooldown charge +X"" to those foes during their combat.At start of combat, if unit's HP ≥ 25%, unit deals +X × 5 damage during combat (max 20; X = number of foes within 3 spaces of target, including target; excluding area-of-effect Specials).",200,No
,Spring-Air Egg+,12,2,"Inflicts Atk/Spd/Def/Res-5 on foes within 3 rows or 3 columns centered on unit and neutralizes effects that grant ""Special cooldown charge +X"" to those foes during their combat.At start of combat, if unit's HP ≥ 25%, unit deals +X × 5 damage during combat (max 20; X = number of foes within 3 spaces of target, including target; excluding area-of-effect Specials).",300,No
,Tactical Gale,14,2,"Grants weapon-triangle advantage against colorless foes, and inflicts weapon-triangle disadvantage on colorless foes during combat.",400,Yes
,Teacake Tower,8,2,"If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+4 to unit and inflicts penalty on foe's Atk/Spd/Def/Res during combat = current bonus on each of foe's stats × 2. (Calculates each stat penalty independently; example: if foe has +7 bonus to Atk, inflicts Atk-14, for a net penalty of Atk-7.)",200,No
