Weapon,Might,Range,Description,SP,Exclusive
Closing Florets,14,1,"Enables【Canto (Rem. +1)】.Accelerates Special trigger (cooldown count-1).At start of turn, if unit's HP ≥ 25%, grants the following effect to unit and target allies (if support partner is on player team, targets any support partner within 2 spaces of unit; otherwise, targets ally with the highest Spd within 2 spaces of unit): if Special cooldown count is at its maximum value, grants Special cooldown count-2; if Special cooldown count is at its maximum value - 1, grants Special cooldown count-1.At start of combat, if unit's HP ≥ 25%, grants bonus to unit's Atk/Spd/Def/Res during combat = number of foes within 3 rows or 3 columns centered on unit × 3, + 5 (max 14), deals damage = 20% of unit's Spd (excluding area-of-effect Specials), and reduces damage by 20% of unit's Spd (excluding area-of-effect Specials).At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 and unit can move 1 extra space (that turn only; does not stack).【Canto (Rem. +1)】After an attack, Assist skill, or structure destruction, unit can move again.The distance of the movement is the remaining movement the unit had before the actions listed above+1 (If unit used a movement skill that warps them, the remainder is 0).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",400,Yes
Covert Cat Fang,14,1,"Grants Def+3. If unit is within 2 spaces of an ally, grants Atk/Def+3 to unit and allies within 2 spaces of unit during combat. At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",400,Yes
Crossbones Claw,14,1,"Accelerates Special trigger (cooldown count-1). If unit is not adjacent to an ally, inflicts Spd/Def-6 on foe and neutralizes effects that prevent unit's follow-up attacks during combat.If unit is not adjacent to an ally and unit initiates combat while transformed, unit can make a follow-up attack before foe can counterattack.At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, unit can move 1 extra space (that turn only; does not stack). If unit transforms, grants Atk+2.",400,Yes
Cute Paper Crane,14,1,"Enables【Canto (２)】.Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+X (X = unit's max Special cooldown count value × 2, + 5), neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks, and reduces damage from foe's first attack by 25% of unit's Spd during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes). At start of turn, if unit is adjacent to only beast or dragon allies or is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 to unit, inflicts Atk/Def-Y on foe during combat (Y = number of spaces from start position to end position of whoever initiated combat + 3; max 6), and also, if Y ≥ 5, reduces damage from foe's first attack by 30% during combat.【Canto (２)】After an attack, Assist skill, or structure destruction, unit can move ２ space(s).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",400,Yes
Delivering Antler,14,1,"Grants Def+3.At start of turn, if unit is within 2 spaces of an ally, grants Atk/Def+6 and【Bonus Doubler】to unit and allies within 2 spaces of unit for 1 turn.If unit is within 2 spaces of an ally, and if unit and allies within 2 spaces of unit have bonuses to Atk/Spd/Def/Res after start-of-turn skills trigger, grants an additional +3 to each corresponding stat for unit and those allies for 1 turn (max 10; calculates each stat bonus independently).If unit initiates combat or if unit is within 2 spaces of an ally, inflicts penalty on foe's Atk/Def = 6 + 20% of unit's Def at start of combat, neutralizes foe's bonuses to Atk/Def, neutralizes unit's penalties to Atk/Def, unit makes a guaranteed follow-up attack, and unit deals +X damage during combat (X = highest total bonuses among unit and allies within 3 spaces of unit; excluding area-of-effect Specials).At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and also, inflicts penalty Atk/Def-Y on foe during combat (Y = number of spaces from start position to end position of whoever initiated combat, + 3; max 6), and also, if Y ≥ 5, reduces damage from foe's first attack by 30% during combat.【Bonus Doubler】Grants bonus to Atk/Spd/Def/Res during combat = current bonus on each of unit's stats for 1 turn. Calculates each stat bonus independently.",400,Yes
Dream Horn,14,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, inflicts Atk/Def-X on foe (X = 50% of highest total bonuses among unit and allies within 3 spaces of unit +6), unit makes a guaranteed follow-up attack during combat, and reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by 30%. At start of turn, if unit is adjacent to only beast or dragon allies or is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 to unit, inflicts Atk/Def-X on foe during combat (X = number of spaces from start position to end position of whoever initiated combat + 3; max 6), and also, if X ≥ 5, reduces damage from foe's first attack by 30% during combat.",400,Yes
Ebon-Pirate Claw,14,1,"Grants Res+3. At start of turn, if any foe's Res < unit's Res and that foe is adjacent to another foe, inflicts Def/Res-7 on that foe through their next actions.At start of combat, if foe's HP ≥ 75%, grants Atk/Spd/Res+5 to unit during combat.At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, unit can move 1 extra space. (That turn only. Does not stack.) If unit transforms, grants Atk+2.",400,Yes
Enclosing Claw,14,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit during combat, inflicts penalty on foe's Atk/Spd/Def during combat = number of foes within 3 columns or 3 rows centered on unit × 3 (max: 9), neutralizes effects that inflict ""Special cooldown charge -X"" on unit, and also, if the number of foes within 3 columns or 3 rows centered on unit ≥ 2, neutralizes effects that guarantee foe's follow-up attacks and inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.) At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, unit can move 1 extra space. (That turn only. Does not stack.) If unit transforms, grants Atk+2.",400,Yes
Enticing Dose,14,1,"Accelerates Special trigger (cooldown count-1).At start of turn and after unit acts (if Canto triggers, after Canto), inflicts Atk/Def-7 and 【Sabotage】on foes within 3 rows or 3 columns centered on unit through their next actions.If unit is transformed or unit's HP ≥ 25% at start of combat, deals damage to foe = 25% of foe's max HP as combat begins (activates only when unit can attack in combat; only highest value applied; does not stack with other ""deals X damage as combat begins"" effects; effects that reduce damage during combat do not apply; will not reduce foe's HP below 1; excluding certain foes, such as Røkkr).If unit is transformed or unit's HP ≥ 25% at start of combat, inflicts penalty on foe's Atk/Def = 6 + 20% of unit's Def at start of combat, reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% (excluding area-of-effect Specials), deals damage = 30% of foe's max HP (excluding area-of-effect Specials; excluding certain foes, such as Røkkr), and reduces damage from foe's attacks by X during combat (excluding area-of-effect Specials), and also, when foe's attack triggers foe's Special, reduces damage from foe's attacks by an additional X (excluding area-of-effect Specials; X = total damage dealt to foe; min 10; max 20).At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and unit can counterattack regardless of foe's range.【Sabotage】Inflicts penalty on unit's Atk/Spd/Def/Res during combat = highest penalty on each stat between unit and allies within 2 spaces of unit through its next action. Calculates each stat penalty independently.",400,Yes
Fang of Closure,14,1,"Grants Spd+3. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+6 to unit during combat. Unit's first attack during combat deals damage = X% of unit's Spd (X = the number of foes within 3 spaces × 10; max 30%). Reduces damage from foe's first attack during combat by X% (X = the number of foes within 3 spaces × 20; max 60%).At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, unit can move 1 extra space. (That turn only. Does not stack.) If unit transforms, grants Atk+2.",400,Yes
Fang of Finality,14,1,"Accelerates Special trigger (cooldown count-1). If unit initiates combat or is not adjacent to an ally, grants Atk/Spd+6 to unit, neutralizes effects that prevent unit's follow-up attacks, deals damage = X% of unit's Spd (X = the number of foes within 3 spaces of target, including target, × 10) during combat (Excluding area-of-effect Specials; max 30%.), and reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = the number of foes within 3 spaces of target, including target, × 20 (max 60%). At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, unit can move 1 extra space. (That turn only. Does not stack.) If unit transforms, grants Atk+2.",400,Yes
Fiery Fang,14,1,"Grants Def+3. At start of combat, if unit's HP ≥ 25%, grants Atk/Def+6 to unit during combat, inflicts penalty on foe's Atk/Def during combat = 20% of unit's Def at start of combat, and foe cannot make a follow-up attack. At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, deals +7 damage when Special triggers, and neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit.",400,Yes
Fledgling (Flier),6,1,"At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, unit can move 1 extra space. (That turn only. Does not stack.) If unit transforms, grants Atk+2.",100,No
Foxkit Fang,14,1,"Grants Res+3. At start of combat, if unit's Res > foe's Res, and if foe uses sword, lance, axe, dragonstone, or beast damage, grants bonus to Atk/Spd/Def/Res = 50% of difference between stats. (Maximum bonus of +8 to each stat.) At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",400,Yes
Full Rabbit Fang,14,1,"Enables【Canto (Rem. +1)】.Effective against cavalry foes. Grants Spd+3.At start of turn, if number of adjacent allies other than beast or dragon allies ≤ 1, or if unit's conditions for transforming are met, grants Special cooldown count-1 to unit.If number of adjacent allies other than beast or dragon allies ≤ 1, or if unit is transformed, grants bonus to unit's Atk/Spd/Def/Res = 5 + number of foes within 3 rows or 3 columns centered on unit × 3 (max 14), deals damage = 20% of unit's Spd (excluding area-of-effect Specials), and neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat, and after combat, if unit's HP ≤ 90%, grants Special cooldown count-2 to unit.At start of turn, if unit is adjacent to only beast or dragon allies or is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 to unit, inflicts Atk/Def-X on foe during combat (X = number of spaces from start position to end position of whoever initiated combat, + 3; max 6), and also, if X ≥ 5, reduces damage from foe's first attack by 30% during combat.【Canto (Rem. +1)】After an attack, Assist skill, or structure destruction, unit can move again.The distance of the movement is the remaining movement the unit had before the actions listed above + 1 (If unit used a movement skill that warps them, the remainder is 0). (Once per turn. Only highest value applied. Does not stack.)",400,Yes
Groom's Wing,14,1,"Grants Res+3. At start of turn 1, grants Special cooldown count-1 to unit's support partner (if any).At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 and deals +10 damage when Special triggers.",400,Yes
Guardian Fang,14,1,"Grants Spd+3. If unit's Spd > foe's Spd, deals damage = 70% of difference between stats. (Maximum bonus of +7 damage. Combos with Phantom Spd.) If unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = difference between stats × 4 (max 40%).At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",400,Yes
Hatchling (Flier),4,1,"At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, unit can move 1 extra space. (That turn only. Does not stack.) If unit transforms, grants Atk+2.",50,No
Hawk King Claw,14,1,"Grants Atk+3. If foe's HP = 100% and if unit initiates combat, unit makes a guaranteed follow-up attack. At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, unit can move 1 extra space. (That turn only. Does not stack.) If unit transforms, grants Atk+2.",400,Yes
Heralding Horn,14,1,"Accelerates Special trigger (cooldown count-1). If foe initiates combat or if foe's HP ≥ 75% at start of combat, grants Atk+6 to unit and inflicts Atk-6 on foe during combat, and also grants the following effects based on the number of allies within 3 spaces: if ≥ 1 ally, if unit has weapon-triangle advantage or if foe initiates combat, unit attacks twice; and if ≥ 2 allies, reduces damage from foe's first attack during combat by 40%; and if ≥ 3 allies, foe cannot make a follow-up attack. At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, deals +7 damage when Special triggers, and neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit during combat.",400,Yes
Heron Wing,14,1,"Grants Spd+3. At start of turn, restores 7 HP to allies within 2 spaces of unit. At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, unit can move 1 extra space. (That turn only. Does not stack.) If unit transforms, grants Atk+2.",400,Yes
Horn of Harvest,14,1,"Accelerates Special trigger (cooldown count-1).Foes with Range = 1 cannot move through spaces adjacent to unit (does not affect foes with Pass skills). Foes with Range = 2 cannot move through spaces within 2 spaces of unit (does not affect foes with Pass skills).For allies within 2 spaces of unit, restores X HP to those allies as their combat begins (triggers after effects that deal damage as combat begins), and reduces the effect of【Deep Wounds】by 50% during combat. (If target's Def > foe's Def, X = 20% of target's max HP + difference between stats × 4; otherwise, X = 20% of target's max HP; max 40% of target's max HP + damage dealt to unit as combat begins; only highest value applied; does not stack.)If foe initiates combat or if foe's HP ≥ 75% at start of combat, inflicts penalty on foe's Atk/Def during combat = 6 + number of allies within 3 spaces of unit × 3 (max 15), reduces the effect of【Deep Wounds】by 50% during combat, deals damage = 20% of unit's Def (including when dealing damage with a Special triggered before combat), reduces damage from foe's attacks by 20% of unit's Def (including when taking damage with a Special triggered before combat), and restores X HP to unit as unit's combat begins (triggers after effects that deal damage as combat begins).At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, deals +7 damage when Special triggers, and neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit.【Deep Wounds】Unit's HP cannot be healed through its next action.",400,Yes
Horn of Opening,14,1,"Accelerates Special trigger (cooldown count-1).If unit is within 3 spaces of an ally, grants Atk+6 to unit during combat and inflicts Atk-6 on foe during combat. Grants the following effects based on the number of allies within 3 spaces: ≥ 2 allies, unit makes a guaranteed follow-up attack; ≥ 3 allies, foe cannot make a follow-up attack.At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, deals +7 damage when Special triggers, and neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit.",400,Yes
Horn of the Land,14,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+X during combat (X = unit's max Special cooldown count value × 2, + 5), grants Special cooldown charge +1 per attack (only highest value applied; does not stack), and neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat. At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",400,Yes
Hungry Cat Fang,14,1,"Accelerates Special trigger (cooldown count-1).At start of turn, if unit's Special cooldown count is at its maximum value, grants Special cooldown count-1 to unit.At start of combat, if unit's HP ≥ 25%, grants bonus to unit's Atk/Spd/Def/Res = 5 + number of foes within 3 rows or 3 columns centered on unit × 3 (max 14), neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks, and neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat, and also, when unit's Special triggers, neutralizes foe's ""reduces damage by X%"" effects from foe's non-Special skills (excluding area-of-effect Specials) during combat.If unit's HP ≥ 25% at start of combat and unit's Special cooldown count is at its maximum value after combat, grants Special cooldown count-1 to unit after combat.At start of turn, if unit is adjacent to only beast or dragon allies or is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 to unit, inflicts Atk/Def-X on foe during combat (X = number of spaces from start position to end position of whoever initiated combat, + 3; max 6), and also, if X ≥ 5, reduces damage from foe's first attack by 30% during combat.",400,Yes
Icy Ravager,14,1,"Accelerates Special trigger (cooldown count-1).At start of turn, and at start of enemy phase (except for in Summoner Duels), if Special cooldown count is at its maximum value, grants Special cooldown count-1.If foe initiates combat or foe's HP ≥ 75% at start of combat, inflicts penalty on foe's Atk/Def = 20% of unit's Def at start of combat + 6, unit deals +X damage (X = total value of the number of foes defeated by unit's team on the current turn and the number of foes that have already performed an action, × 3, + 10; max 19; for ""current turn,"" player phase and enemy phase are counted separately; excluding area-of-effect Specials), reduces damage from foe's attacks by X (excluding area-of-effect Specials), and neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat, and also, and if unit's Special cooldown count is at its maximum value after combat, grants Special cooldown count-1 to unit after combat.At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and unit can counterattack regardless of foe's range.",400,Yes
Illuminating Horn,14,1,"Accelerates Special trigger (cooldown count-1). If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit during combat, unit makes a guaranteed follow-up attack, deals damage = 20% of unit's Def, and reduces damage from foe's attacks by 20% of unit's Def (excluding area- of-effect Specials). At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, deals +7 damage when Special triggers, and neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit.",400,Yes
Jaws of Closure,14,1,"Accelerates Special trigger (cooldown count-1).When unit is in combat, foes' Savior effects will not trigger.After unit acts (if Canto triggers, after Canto), inflicts【Undefended】on closest foes within 5 spaces of unit through their next actions.For foes within 3 rows or 3 columns centered on unit, inflicts Atk/Spd/Def/Res-5 and reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% during combat (excluding area-of-effect Specials).At start of combat, if unit's HP ≥ 25%, grants bonus to unit's Atk/Spd/Def/Res = 15% of unit's Spd at start of combat, unit deals X × 8 damage (excluding area-of-effect Specials), and reduces damage from foe's first attack by X × 6 during combat (X = number of foes within 3 spaces of target, including target; max 4; ""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes).At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 and unit can move 1 extra space (that turn only; does not stack).【Undefended】Unit cannot be protected by Savior through their next action.",400,Yes
Keen Rabbit Fang,14,1,"Accelerates Special trigger (cooldown count-1). Effective against cavalry foes. If unit initiates combat or is not adjacent to an ally, grants Atk/Spd+6 to unit, neutralizes effects that prevent unit's follow-up attacks, reduces damage from foe's first attack by 40%, and also, if unit's Spd > foe's Spd, grants Special cooldown charge +1 to unit per attack during combat. (Only highest value applied. Does not stack.) At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",400,Yes
Kitsune Fang,14,1,"Grants Def+3. Grants allies within 2 spaces bonus to Atk/Spd/Def/Res during combat = current bonus on each of unit's stats. Calculates each stat bonus independently. At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",400,Yes
Lion King Fang,14,1,"Grants Atk+3. If foe initiates combat, grants Atk/Spd/Def/Res+4 during combat. At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and unit can counterattack regardless of foe's range.",400,Yes
Love of Nerþuz,14,1,"Accelerates Special trigger (cooldown count-1).At start of combat, if unit's HP ≥ 25%, grants bonus to unit's Atk/Spd/Def/Res = number of allies within 3 rows or 3 columns centered on unit × 3, + 5 (max 14), neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks, and reduces damage from foe's first attack by 40% during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes).Grants the following effects to allies within 3 rows or 3 columns centered on unit, and if unit's HP ≥ 25% at start of combat, to unit: when that unit or ally's Special triggers during combat, reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by percentage = that unit or ally's max Special cooldown count value × 30, + 10 (max 100%; excluding area-of-effect Specials), and also, if that unit or ally's max Special cooldown count value ≥ 3 and their attack can trigger their Special, grants Special cooldown count-1 to that unit or ally before their first attack during combat.At start of turn, if unit is adjacent to only beast or dragon allies or is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 to unit, inflicts Atk/Def-X on foe during combat (X = number of spaces from start position to end position of whoever initiated combat, + 3; max 6), and also, if X ≥ 5, reduces damage from foe's first attack by 30% during combat.",400,Yes
Nectar Horn,14,1,"Accelerates Special trigger (cooldown count-1).At start of player phase or enemy phase, if any foes within 3 rows or 3 columns centered on unit have Res < unit's Res+5, inflicts Atk/Def-7,【Discord】,【Deep Wounds】, and a penalty that neutralizes non-Special ""if foe would reduce unit's HP to 0, unit survives with 1 HP"" effects on those foes through their next actions.If foe initiates combat or foe's HP ≥ 75% at start of combat, inflicts Atk/Def-6 on foe, inflicts penalty on foe's Atk/Def = 20% of unit's Res at start of combat, reduces damage from foe's attacks by 20% of unit's Res (excluding area-of-effect Specials), neutralizes foe's bonuses to Atk/Def (from skills like Fortify, Rally, etc.), and grants Special cooldown charge +1 to unit per attack during combat (only highest value applied; does not stack).At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, deals +7 damage when Special triggers, and neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit.【Discord】Inflicts Atk/Spd/Def/Res-X on unit during combat (X = 2 + number of allies within 2 spaces of unit; max 5) through its next action.【Deep Wounds】Unit's HP cannot be healed through its next action.",400,Yes
